id	TASKID	SCHEDULETYPEID	LINES_LINEID	PLANVERSIONID
2255	134	1951017	220	40
2256	135	1951012	346	40
2257	135	1951016	2241	40
2258	135	1951017	373	40
2259	136	1951016	321	40
2260	136	1951017	2274	40
2261	136	1951012	376	40
2262	137	1951012	301	40
2263	137	1951017	2274	40
2264	137	1951016	321	40
2265	138	1951012	150	40
2266	138	1951016	381	40
2267	138	1951017	2274	40
2268	139	1951012	150	40
2269	139	1951016	381	40
2270	139	1951017	318	40
2271	140	1951016	381	40
2272	140	1951017	2741	40
2273	140	1951012	150	40
2274	141	1951012	150	40
2275	141	1951017	243	40
2276	141	1951016	381	40
2277	142	1951012	131	40
2278	142	1951016	382	40
2279	142	1951017	2703	40
2280	143	1951012	131	40
2281	143	1951016	382	40
2282	143	1951017	243	40
2283	144	1951016	302	40
2284	144	1951017	243	40
2285	144	1951012	301	40
2286	145	1951016	302	40
2287	145	1951017	220	40
2288	145	1951012	301	40
2289	146	1951012	1472	40
2290	146	1951016	301	40
2291	146	1951017	2742	40
2292	147	1951012	346	40
2293	147	1951016	2241	40
2294	147	1951017	2703	40
2295	148	1951012	334	40
2296	148	1951016	2241	40
2297	148	1951017	243	40
2298	149	1951012	346	40
2299	149	1951016	2241	40
2300	149	1951017	220	40
2301	150	1951012	334	40
2302	150	1951016	2241	40
2303	150	1951017	345	40
2304	151	1951012	321	40
2305	151	1951016	2241	40
2306	151	1951017	375	40
2307	152	1951012	334	40
2308	152	1951016	3141	40
2309	152	1951017	372	40
2310	153	1951012	376	40
2311	153	1951016	232	40
2312	153	1951017	322	40
2313	154	1951012	375	40
2314	154	1951016	3422	40
2315	154	1951017	322	40
2316	155	1951012	1472	40
2317	155	1951016	1472	40
2318	155	1951017	370	40
2319	156	1951012	131	40
2320	156	1951016	1472	40
2321	156	1951017	375	40
2322	157	1951012	1472	40
2323	157	1951017	375	40
2324	157	1951016	1472	40
2325	158	1951012	131	40
2326	158	1951016	1472	40
2327	158	1951017	346	40
2328	159	1951016	1472	40
2329	159	1951017	3371	40
2330	159	1951012	2101	40
2331	160	1951012	131	40
2332	160	1951017	3371	40
2333	160	1951016	1472	40
2334	161	1951012	1472	40
2335	161	1951016	1472	40
2336	161	1951017	3142	40
2337	162	1951012	131	40
2338	162	1951016	1472	40
2339	162	1951017	260	40
2340	163	1951012	131	40
2341	163	1951016	1472	40
2342	163	1951017	3142	40
2343	164	1951012	2101	40
2344	164	1951016	1472	40
2345	164	1951017	260	40
2346	165	1951012	131	40
2347	165	1951016	1472	40
2348	165	1951017	3142	40
2349	166	1951016	1472	40
2350	166	1951012	2101	40
2351	166	1951017	3141	40
2352	167	1951012	2101	40
2353	167	1951016	1472	40
2354	167	1951017	2212	40
2355	168	1951012	131	40
2356	168	1951016	1472	40
2357	168	1951017	318	40
2358	169	1951012	1472	40
2359	169	1951016	1472	40
2360	169	1951017	2401	40
2361	170	1951012	131	40
2362	170	1951016	1472	40
2363	170	1951017	318	40
2364	171	1951012	323	40
2365	171	1951016	2273	40
2366	171	1951017	2212	40
2367	172	1951012	3421	40
2368	172	1951016	142	40
2369	172	1951017	275	40
2370	173	1951012	323	40
2371	173	1951016	2273	40
2372	173	1951017	2212	40
2373	174	1951012	318	40
2374	174	1951016	3131	40
2375	174	1951017	2212	40
2376	175	1951012	318	40
2377	175	1951016	3191	40
2378	175	1951017	2523	40
2379	176	1951016	376	40
2380	176	1951017	2212	40
2381	176	1951012	2101	40
2382	177	1951012	302	40
2383	177	1951017	2212	40
2384	177	1951016	3411	40
2385	178	1951012	318	40
2386	178	1951016	3191	40
2387	178	1951017	2212	40
2388	179	1951012	318	40
2389	179	1951016	2273	40
2390	179	1951017	2212	40
2391	180	1951016	142	40
2392	180	1951017	2212	40
2393	180	1951012	3421	40
2394	181	1951012	318	40
2395	181	1951017	323	40
2396	181	1951016	1472	40
2397	182	1951012	3172	40
2398	182	1951016	1472	40
2399	182	1951017	2242	40
2400	183	1951012	1472	40
2401	183	1951016	3411	40
2402	183	1951017	2523	40
2403	184	1951016	2703	40
2404	184	1951017	2212	40
2405	184	1951012	2141	40
2406	185	1951012	2703	40
2407	185	1951017	2523	40
2408	185	1951016	142	40
2409	186	1951012	3172	40
2410	186	1951016	1472	40
2411	186	1951017	275	40
2412	187	1951012	1472	40
2413	187	1951016	2301	40
2414	187	1951017	2523	40
2415	188	1951012	131	40
2416	188	1951016	2301	40
2417	188	1951017	321	40
2418	189	1951012	2402	40
2419	189	1951016	2101	40
2420	189	1951017	2523	40
2421	190	1951012	321	40
2422	190	1951016	3422	40
2423	190	1951017	275	40
2424	191	1951012	2402	40
2425	191	1951016	2141	40
2426	191	1951017	2242	40
2427	192	1951012	131	40
2428	192	1951016	2301	40
2429	192	1951017	275	40
2430	193	1951012	2141	40
2431	193	1951016	2141	40
2432	193	1951017	275	40
2433	194	1951012	3172	40
2434	194	1951016	3422	40
2435	194	1951017	371	40
2436	195	1951012	2141	40
2437	195	1951016	2101	40
2438	195	1951017	131	40
2439	196	1951012	131	40
2440	196	1951016	1472	40
2441	196	1951017	323	40
2442	197	1951012	131	40
2443	197	1951016	318	40
2444	197	1951017	321	40
2445	198	1951012	1472	40
2446	198	1951016	431	40
2447	198	1951017	3141	40
2448	199	1951012	306	40
2449	199	1951016	376	40
2450	199	1951017	371	40
2451	200	1951017	131	40
2452	200	1951012	306	40
2453	200	1951016	131	40
2454	201	1951012	306	40
2455	201	1951016	376	40
2456	201	1951017	371	40
2457	202	1951012	3771	40
2458	202	1951016	3422	40
2459	202	1951017	131	40
2460	203	1951012	2241	40
2461	203	1951017	131	40
2462	204	1951012	302	40
2463	204	1951016	3411	40
2464	204	1951017	131	40
2465	205	1951016	431	40
2466	205	1951017	3141	40
2467	205	1951012	372	40
2468	206	1951012	3441	40
2469	206	1951017	2273	40
2470	206	1951016	3133	40
2471	207	1951012	334	40
2472	207	1951016	431	40
2473	207	1951017	2273	40
2474	208	1951016	331	40
2475	208	1951017	2273	40
2476	208	1951012	306	40
2477	209	1951016	2141	40
2478	209	1951017	2273	40
2479	209	1951012	2141	40
2480	210	1951012	321	40
2481	210	1951017	2273	40
2482	210	1951016	232	40
2483	211	1951012	3441	40
2484	211	1951016	3133	40
2485	211	1951017	2273	40
2486	212	1951012	150	40
2487	212	1951016	2401	40
2488	212	1951017	2273	40
2489	213	1951012	2273	40
2490	213	1951016	260	40
2491	213	1951017	2242	40
2492	214	1951016	140	40
2493	214	1951012	3441	40
2494	214	1951017	2242	40
2495	215	1951017	2242	40
2496	215	1951012	3441	40
2497	215	1951016	301	40
2498	216	1951012	3441	40
2499	216	1951016	302	40
2500	216	1951017	2523	40
2501	217	1951012	150	40
2502	217	1951016	150	40
2503	217	1951017	2523	40
2504	218	1951016	260	40
2505	218	1951012	2273	40
2506	218	1951017	2523	40
2507	219	1951012	1472	40
2508	219	1951016	353	40
2509	219	1951017	306	40
2510	220	1951012	1472	40
2511	220	1951016	2301	40
2512	220	1951017	2273	40
2513	221	1951016	2301	40
2514	221	1951012	1472	40
2515	221	1951017	306	40
2516	222	1951012	431	40
2517	222	1951016	351	40
2518	222	1951017	306	40
2519	223	1951012	431	40
2520	223	1951016	2301	40
2521	223	1951017	333	40
2522	224	1951012	431	40
2523	224	1951016	2273	40
2524	224	1951017	2273	40
2525	225	1951012	431	40
2526	225	1951016	2273	40
2527	225	1951017	2242	40
2528	226	1951012	150	40
2529	226	1951016	2401	40
2530	226	1951017	382	40
2531	227	1951012	431	40
2532	227	1951016	3422	40
2533	227	1951017	260	40
2534	228	1951012	431	40
2535	228	1951016	335	40
2536	228	1951017	382	40
2537	229	1951012	431	40
2538	229	1951016	302	40
2539	229	1951017	2242	40
2540	230	1951017	260	40
2541	230	1951012	431	40
2542	230	1951016	318	40
2543	231	1951012	2273	40
2544	231	1951016	260	40
2545	231	1951017	331	40
2546	232	1951016	335	40
2547	232	1951017	3142	40
2548	232	1951012	217	40
2549	233	1951012	2274	40
2550	233	1951017	2523	40
2551	233	1951016	2401	40
2552	234	1951012	2501	40
2553	234	1951016	2141	40
2554	234	1951017	331	40
2555	235	1951012	150	40
2556	235	1951016	150	40
2557	235	1951017	232	40
2558	236	1951016	260	40
2559	236	1951017	260	40
2560	236	1951012	2273	40
2561	237	1951012	2141	40
2562	237	1951017	333	40
2563	237	1951016	2141	40
2564	238	1951012	2102	40
2565	238	1951016	431	40
2566	238	1951017	131	40
2567	239	1951012	2141	40
2568	239	1951016	2141	40
2569	239	1951017	131	40
2570	240	1951016	275	40
2571	240	1951017	131	40
2572	240	1951012	2141	40
2573	241	1951012	2741	40
2574	241	1951017	131	40
2575	241	1951016	2271	40
2576	242	1951012	2402	40
2577	242	1951016	2271	40
2578	242	1951017	131	40
2579	243	1951016	431	40
2580	243	1951017	131	40
2581	243	1951012	2102	40
2582	244	1951012	2141	40
2583	244	1951016	2141	40
2584	244	1951017	131	40
2585	245	1951012	2141	40
2586	245	1951016	2141	40
2587	245	1951017	131	40
2588	246	1951012	2141	40
2589	246	1951016	2141	40
2590	246	1951017	131	40
2591	247	1951012	431	40
2592	247	1951016	302	40
2593	247	1951017	2141	40
2594	248	1951012	431	40
2595	248	1951016	140	40
2596	248	1951017	131	40
2597	249	1951012	431	40
2598	249	1951017	131	40
2599	250	1951012	431	40
2600	250	1951016	305	40
2601	250	1951017	131	40
2602	251	1951012	131	40
2603	251	1951016	3142	40
2604	251	1951017	131	40
2605	252	1951012	131	40
2606	252	1951016	3142	40
2607	252	1951017	131	40
2608	253	1951012	131	40
2609	253	1951016	3142	40
2610	253	1951017	131	40
2611	254	1951012	131	40
2612	254	1951016	3142	40
2613	254	1951017	131	40
2614	255	1951012	131	40
2615	255	1951016	3142	40
2616	255	1951017	2742	40
2617	256	1951012	131	40
2618	256	1951016	2273	40
2619	256	1951017	1571	40
2620	257	1951012	1472	40
2621	257	1951016	557	40
2622	257	1951017	131	40
2623	258	1951016	557	40
2624	258	1951012	1472	40
2625	258	1951017	131	40
2626	259	1951016	2102	40
2627	259	1951012	150	40
2628	259	1951017	131	40
2629	260	1951017	131	40
2630	260	1951012	1472	40
2631	260	1951016	557	40
2632	261	1951012	381	40
2633	261	1951016	2703	40
2634	261	1951017	131	40
2635	262	1951012	381	40
2636	262	1951016	150	40
2637	262	1951017	332	40
2638	263	1951016	351	40
2639	263	1951012	381	40
2640	263	1951017	332	40
2641	264	1951017	376	40
2642	264	1951012	322	40
2643	264	1951016	3411	40
2644	265	1951012	3771	40
2645	265	1951016	3411	40
2646	265	1951017	376	40
2647	266	1951012	381	40
2648	266	1951016	140	40
2649	266	1951017	140	40
2650	267	1951012	140	40
2651	267	1951016	140	40
2652	267	1951017	2472	40
2653	268	1951012	140	40
2654	268	1951016	140	40
2655	268	1951017	140	40
2656	269	1951012	3131	40
2657	269	1951017	140	40
2658	269	1951016	351	40
2659	270	1951012	140	40
2660	270	1951017	333	40
2661	271	1951012	140	40
2662	271	1951016	3121	40
2663	271	1951017	370	40
2664	272	1951012	140	40
2665	272	1951016	2401	40
2666	272	1951017	370	40
2667	273	1951012	3441	40
2668	273	1951016	3411	40
2669	273	1951017	140	40
2670	274	1951012	140	40
2671	274	1951017	232	40
2672	275	1951012	3441	40
2673	275	1951016	3172	40
2674	275	1951017	232	40
2675	276	1951012	3441	40
2676	276	1951016	3141	40
2677	276	1951017	1471	40
2678	277	1951012	1472	40
2679	277	1951016	140	40
2680	277	1951017	3441	40
2681	278	1951012	304	40
2682	278	1951016	304	40
2683	278	1951017	3441	40
2684	279	1951012	375	40
2685	279	1951016	305	40
2686	279	1951017	335	40
2687	280	1951012	2501	40
2688	280	1951016	2141	40
2689	280	1951017	335	40
2690	281	1951016	351	40
2691	281	1951012	2141	40
2692	281	1951017	3771	40
2693	282	1951016	2141	40
2694	282	1951017	1471	40
2695	282	1951012	2402	40
2696	283	1951012	373	40
2697	283	1951017	3771	40
2698	283	1951016	305	40
2699	284	1951012	2212	40
2700	284	1951016	2471	40
2701	284	1951017	1471	40
2702	285	1951012	2212	40
2703	285	1951016	2471	40
2704	285	1951017	1471	40
2705	286	1951012	1472	40
2706	286	1951016	3121	40
2707	286	1951017	1471	40
2708	287	1951016	2401	40
2709	287	1951012	2102	40
2710	287	1951017	1471	40
2711	288	1951017	1471	40
2712	288	1951012	2212	40
2713	288	1951016	2471	40
2714	289	1951012	2212	40
2715	289	1951016	2471	40
2716	289	1951017	1471	40
2717	290	1951012	2273	40
2718	290	1951016	2211	40
2719	290	1951017	1471	40
2720	291	1951016	2273	40
2721	291	1951017	1471	40
2722	291	1951012	2523	40
2723	292	1951012	2212	40
2724	292	1951016	2471	40
2725	292	1951017	1471	40
2726	293	1951012	370	40
2727	293	1951016	3141	40
2728	293	1951017	1471	40
2729	294	1951012	2402	40
2730	294	1951016	2273	40
2731	294	1951017	1471	40
2732	295	1951012	2212	40
2733	295	1951016	2471	40
2734	295	1951017	1471	40
2735	296	1951012	372	40
2736	296	1951016	3411	40
2737	296	1951017	1471	40
2738	297	1951012	2523	40
2739	297	1951016	2273	40
2740	297	1951017	1471	40
2741	298	1951017	1471	40
2742	298	1951012	2523	40
2743	298	1951016	2273	40
2744	299	1951012	2523	40
2745	299	1951016	2273	40
2746	299	1951017	421	40
2747	300	1951012	372	40
2748	300	1951016	370	40
2749	300	1951017	421	40
2750	301	1951012	2402	40
2751	301	1951016	2273	40
2752	301	1951017	421	40
2753	302	1951012	2741	40
2754	302	1951016	2212	40
2755	302	1951017	421	40
2756	303	1951012	370	40
2757	303	1951016	370	40
2758	303	1951017	421	40
2759	304	1951017	421	40
2760	304	1951012	370	40
2761	304	1951016	370	40
2762	305	1951012	2402	40
2763	305	1951016	323	40
2764	305	1951017	421	40
2765	306	1951016	2271	40
2766	306	1951012	3421	40
2767	307	1951012	140	40
2768	307	1951016	304	40
2769	308	1951016	2212	40
2770	308	1951012	2523	40
2771	309	1951017	372	40
2772	309	1951012	140	40
2773	309	1951016	304	40
2774	310	1951012	140	40
2775	310	1951016	323	40
2776	310	1951017	140	40
2777	311	1951016	2703	40
2778	311	1951017	372	40
2779	311	1951012	2242	40
2780	312	1951017	1571	40
2781	312	1951012	437	40
2782	312	1951016	431	40
2783	313	1951012	1472	40
2784	313	1951016	373	40
2785	313	1951017	1571	40
2786	314	1951012	437	40
2787	314	1951016	2101	40
2788	314	1951017	351	40
2789	315	1951012	140	40
2790	315	1951016	3122	40
2791	315	1951017	351	40
2792	316	1951012	2242	40
2793	316	1951016	3441	40
2794	316	1951017	351	40
2795	317	1951012	437	40
2796	317	1951016	431	40
2797	317	1951017	3421	40
2798	318	1951017	3441	40
2799	318	1951012	3121	40
2800	318	1951016	431	40
2801	319	1951012	2141	40
2802	319	1951016	2141	40
2803	319	1951017	375	40
2804	320	1951012	1472	40
2805	320	1951016	275	40
2806	320	1951017	334	40
2807	321	1951012	2141	40
2808	321	1951016	2141	40
2809	321	1951017	334	40
2810	322	1951012	2141	40
2811	322	1951016	2703	40
2812	322	1951017	353	40
2813	323	1951012	2141	40
2814	323	1951016	2141	40
2815	323	1951017	3441	40
2816	324	1951012	2242	40
2817	324	1951016	3441	40
2818	325	1951012	437	40
2819	326	1951012	437	40
2820	326	1951016	431	40
2821	326	1951017	421	40
2822	327	1951012	437	40
2823	327	1951016	431	40
2824	327	1951017	2501	40
2825	328	1951012	437	40
2826	328	1951016	431	40
2827	328	1951017	421	40
2828	329	1951012	2141	40
2829	329	1951016	375	40
2830	329	1951017	2501	40
2831	330	1951012	437	40
2832	330	1951016	431	40
2833	330	1951017	2501	40
2834	331	1951012	1472	40
2835	331	1951016	3122	40
2836	331	1951017	421	40
2837	332	1951012	437	40
2838	332	1951016	431	40
2839	332	1951017	232	40
2840	333	1951016	431	40
2841	333	1951012	437	40
2842	333	1951017	140	40
2843	334	1951012	437	40
2844	334	1951016	431	40
2845	334	1951017	2141	40
2846	335	1951012	2102	40
2847	335	1951016	431	40
2848	335	1951017	421	40
2849	336	1951012	2102	40
2850	336	1951016	431	40
2851	336	1951017	353	40
2852	337	1951012	1472	40
2853	337	1951016	3122	40
2854	337	1951017	3411	40
2855	338	1951012	2141	40
2856	338	1951016	2703	40
2857	338	1951017	3411	40
2858	339	1951012	437	40
2859	339	1951016	431	40
2860	339	1951017	140	40
2861	340	1951016	275	40
2862	340	1951017	3441	40
2863	340	1951012	2101	40
2864	341	1951012	437	40
2865	341	1951017	3421	40
2866	341	1951016	431	40
2867	342	1951012	2101	40
2868	342	1951016	2101	40
2869	342	1951017	3411	40
2870	343	1951012	2101	40
2871	343	1951016	275	40
2872	343	1951017	3421	40
2873	344	1951016	431	40
2874	344	1951017	3411	40
2875	344	1951012	437	40
2876	345	1951012	232	40
2877	345	1951017	3421	40
2878	345	1951016	306	40
2879	346	1951012	2242	40
2880	346	1951017	3411	40
2881	346	1951016	275	40
2882	347	1951012	1472	40
2883	347	1951017	3411	40
2884	347	1951016	2212	40
2885	348	1951012	2212	40
2886	348	1951016	2402	40
2887	348	1951017	3411	40
2888	349	1951012	431	40
2889	349	1951016	2101	40
2890	349	1951017	3442	40
2891	350	1951012	311	40
2892	350	1951016	275	40
2893	350	1951017	2741	40
2894	351	1951012	431	40
2895	351	1951016	2101	40
2896	351	1951017	2101	40
2897	352	1951012	311	40
2898	352	1951016	275	40
2899	352	1951017	421	40
2900	353	1951012	431	40
2901	353	1951016	275	40
2902	353	1951017	421	40
2903	354	1951012	311	40
2904	354	1951016	2101	40
2905	354	1951017	2141	40
2906	355	1951012	1472	40
2907	355	1951016	373	40
2908	355	1951017	3441	40
2909	356	1951012	2212	40
2910	356	1951016	2471	40
2911	356	1951017	421	40
2912	357	1951012	2702	40
2913	357	1951016	2402	40
2914	357	1951017	421	40
2915	358	1951012	2271	40
2916	358	1951016	2402	40
2917	358	1951017	345	40
2918	359	1951012	302	40
2919	359	1951016	2212	40
2920	359	1951017	3442	40
2921	360	1951012	2702	40
2922	360	1951016	2402	40
2923	360	1951017	347	40
2924	361	1951016	2402	40
2925	361	1951012	2212	40
2926	361	1951017	347	40
2927	362	1951017	347	40
2928	362	1951012	131	40
2929	362	1951016	376	40
2930	363	1951012	131	40
2931	363	1951016	2212	40
2932	363	1951017	347	40
2933	364	1951012	131	40
2934	364	1951016	142	40
2935	364	1951017	347	40
2936	365	1951017	2102	40
2937	365	1951012	131	40
2938	366	1951016	2212	40
2939	366	1951017	302	40
2940	366	1951012	131	40
2941	367	1951016	2212	40
2942	367	1951017	2101	40
2943	367	1951012	431	40
2944	368	1951012	431	40
2945	368	1951017	150	40
2946	368	1951016	2212	40
2947	369	1951012	1571	40
2948	369	1951016	2212	40
2949	369	1951017	150	40
2950	370	1951012	431	40
2951	370	1951016	2212	40
2952	370	1951017	150	40
2953	371	1951012	431	40
2954	371	1951017	150	40
2955	372	1951012	217	40
2956	372	1951017	150	40
2957	372	1951016	142	40
2958	373	1951012	311	40
2959	373	1951017	150	40
2960	373	1951016	2212	40
2961	374	1951012	217	40
2962	374	1951017	150	40
2963	374	1951016	3442	40
2964	375	1951012	431	40
2965	375	1951017	3442	40
2966	375	1951016	142	40
2967	376	1951016	150	40
2968	376	1951012	427	40
2969	377	1951012	421	40
2970	377	1951016	142	40
2971	378	1951016	2402	40
2972	378	1951012	2212	40
2973	379	1951016	2211	40
2974	379	1951012	232	40
2975	380	1951012	2141	40
2976	380	1951017	2501	40
2977	380	1951016	2212	40
2978	381	1951012	2271	40
2979	381	1951017	2501	40
2980	381	1951016	2402	40
2981	382	1951012	2141	40
2982	382	1951017	2741	40
2983	382	1951016	3441	40
2984	383	1951012	232	40
2985	383	1951017	2501	40
2986	383	1951016	260	40
2987	384	1951016	142	40
2988	384	1951017	2741	40
2989	384	1951012	2141	40
2990	385	1951017	2742	40
2991	385	1951016	2402	40
2992	385	1951012	2702	40
2993	386	1951012	232	40
2994	386	1951017	150	40
2995	386	1951016	260	40
2996	387	1951012	260	40
2997	387	1951017	302	40
2998	387	1951016	2471	40
2999	388	1951016	2211	40
3000	388	1951017	302	40
3001	388	1951012	232	40
3002	389	1951017	2102	40
3003	389	1951016	2402	40
3004	389	1951012	2212	40
3005	390	1951012	260	40
3006	390	1951017	2702	40
3007	390	1951016	2211	40
3008	391	1951012	2141	40
3009	391	1951016	2141	40
3010	391	1951017	2141	40
3011	392	1951016	142	40
3012	392	1951017	2702	40
3013	392	1951012	302	40
3014	393	1951016	142	40
3015	393	1951017	302	40
3016	393	1951012	302	40
3017	394	1951017	3771	40
3018	394	1951016	2212	40
3019	394	1951012	2141	40
3020	395	1951012	302	40
3021	395	1951017	302	40
3022	395	1951016	142	40
3023	396	1951016	142	40
3024	396	1951012	302	40
3025	397	1951012	140	40
3026	397	1951017	302	40
3027	397	1951016	142	40
3028	398	1951016	142	40
3029	398	1951012	142	40
3030	399	1951012	142	40
3031	399	1951017	302	40
3032	399	1951016	142	40
3033	400	1951012	3441	40
3034	400	1951016	142	40
3035	400	1951017	318	40
3036	401	1951012	3441	40
3037	401	1951017	2702	40
3038	401	1951016	142	40
3039	402	1951012	345	40
3040	402	1951017	318	40
3041	402	1951016	142	40
3042	403	1951012	322	40
3043	403	1951017	2702	40
3044	403	1951016	142	40
3045	404	1951016	3411	40
3046	404	1951017	318	40
3047	404	1951012	3441	40
3048	405	1951012	3371	40
3049	405	1951017	2702	40
3050	405	1951016	150	40
3051	406	1951016	142	40
3052	406	1951012	3441	40
3053	407	1951016	150	40
3054	407	1951012	3172	40
3055	408	1951016	142	40
3056	408	1951012	3192	40
3057	409	1951016	142	40
3058	409	1951012	335	40
3059	410	1951016	150	40
3060	410	1951012	3192	40
3061	411	1951012	142	40
3062	411	1951017	2271	40
3063	411	1951016	3441	40
3064	412	1951012	2212	40
3065	412	1951016	2471	40
3066	413	1951012	2212	40
3067	413	1951017	2271	40
3068	413	1951016	2471	40
3069	414	1951016	142	40
3070	414	1951012	2101	40
3071	415	1951016	2471	40
3072	415	1951012	2212	40
3073	416	1951012	2212	40
3074	416	1951017	2271	40
3075	416	1951016	2471	40
3076	417	1951012	2212	40
3077	417	1951016	2471	40
3078	418	1951016	2471	40
3079	418	1951012	2471	40
3080	419	1951016	3411	40
3081	419	1951012	2273	40
3082	419	1951017	2271	40
3083	420	1951012	2273	40
3084	325	1951016	431	40
3085	325	1951017	421	40
3086	420	1951016	347	40
3087	421	1951012	372	40
3088	421	1951017	2271	40
3089	421	1951016	3411	40
3090	422	1951012	353	40
3091	422	1951017	2271	40
3092	422	1951016	306	40
3093	423	1951016	375	40
3094	423	1951017	2271	40
3095	423	1951012	370	40
3096	424	1951016	3411	40
3097	424	1951012	243	40
3098	425	1951012	2741	40
3099	425	1951017	2271	40
3100	425	1951016	3411	40
3101	426	1951012	2273	40
3102	426	1951016	370	40
3103	427	1951016	306	40
3104	427	1951012	353	40
3105	428	1951016	3411	40
3106	428	1951012	2742	40
3107	429	1951016	2471	40
3108	429	1951012	335	40
3109	430	1951016	3411	40
3110	430	1951012	2501	40
3111	431	1951016	2471	40
3112	431	1951012	2471	40
3113	432	1951016	3411	40
3114	432	1951012	2273	40
3115	433	1951016	2212	40
3116	433	1951012	2402	40
3117	434	1951016	3411	40
3118	434	1951012	243	40
3119	435	1951016	375	40
3120	435	1951012	2523	40
3121	436	1951012	306	40
3122	436	1951016	142	40
3123	437	1951016	3131	40
3124	437	1951012	2402	40
3125	438	1951016	3411	40
3126	438	1951012	2241	40
3127	439	1951016	2211	40
3128	439	1951012	2501	40
3129	440	1951016	347	40
3130	440	1951012	2471	40
3131	441	1951016	375	40
3132	441	1951012	2523	40
3133	442	1951016	2271	40
3134	442	1951012	2273	40
3135	443	1951016	2211	40
3136	443	1951012	2501	40
3137	444	1951016	347	40
3138	444	1951012	2471	40
3139	445	1951012	2273	40
3140	445	1951016	2271	40
3141	446	1951016	2141	40
3142	446	1951012	3121	40
3143	447	1951012	2402	40
3144	447	1951016	306	40
3145	448	1951016	2211	40
3146	448	1951012	2273	40
3147	449	1951012	243	40
3148	449	1951016	2271	40
3149	450	1951016	2271	40
3150	450	1951012	243	40
3151	451	1951012	2501	40
3152	451	1951016	2271	40
3153	452	1951016	347	40
3154	452	1951012	2471	40
3155	453	1951012	2702	40
3156	453	1951016	2274	40
3157	454	1951016	2402	40
