LINEARCID	LINEID	ARCID	ARCSEQUENCE	ORIENTATION	PLANVERSIONID	LINEVARIANT	REGISTERDATE
186092	131	110819	2	0	40	21	2013-05-03 08:22:52-05
186093	131	110048	3	0	40	21	2013-05-03 08:22:52-05
186094	131	110411	4	0	40	21	2013-05-03 08:22:52-05
186095	131	109724	5	0	40	21	2013-05-03 08:22:52-05
186096	131	109669	6	0	40	21	2013-05-03 08:22:52-05
186097	131	108945	7	0	40	21	2013-05-03 08:22:52-05
186098	131	111187	8	0	40	21	2013-05-03 08:22:52-05
186099	131	111192	9	0	40	21	2013-05-03 08:22:52-05
186100	131	108978	10	0	40	21	2013-05-03 08:22:52-05
186101	131	110868	11	0	40	21	2013-05-03 08:22:52-05
186102	131	111558	12	0	40	21	2013-05-03 08:22:52-05
186103	131	109335	13	0	40	21	2013-05-03 08:22:52-05
186104	131	111554	14	0	40	21	2013-05-03 08:22:52-05
186105	131	110459	15	0	40	21	2013-05-03 08:22:52-05
186106	131	109716	16	0	40	21	2013-05-03 08:22:52-05
186107	131	109713	17	0	40	21	2013-05-03 08:22:52-05
186108	131	110862	18	0	40	21	2013-05-03 08:22:52-05
186109	131	108949	0	1	40	10	2013-05-03 08:22:52-05
186110	131	110415	1	1	40	10	2013-05-03 08:22:52-05
186111	131	109306	2	1	40	10	2013-05-03 08:22:52-05
186112	131	111516	3	1	40	10	2013-05-03 08:22:52-05
186113	131	110420	4	1	40	10	2013-05-03 08:22:52-05
186114	131	110831	5	1	40	10	2013-05-03 08:22:52-05
186115	131	111521	6	1	40	10	2013-05-03 08:22:52-05
186116	131	111523	7	1	40	10	2013-05-03 08:22:52-05
186117	131	111207	8	1	40	10	2013-05-03 08:22:52-05
186118	131	109312	9	1	40	10	2013-05-03 08:22:52-05
186119	131	110426	10	1	40	10	2013-05-03 08:22:52-05
186120	140	110099	0	1	40	2	2013-05-03 08:22:52-05
186121	140	110469	1	1	40	2	2013-05-03 08:22:52-05
186122	140	111564	2	1	40	2	2013-05-03 08:22:52-05
186123	140	111504	3	1	40	2	2013-05-03 08:22:52-05
186124	140	109667	4	1	40	2	2013-05-03 08:22:52-05
186125	140	110038	5	1	40	2	2013-05-03 08:22:52-05
186126	140	110039	6	1	40	2	2013-05-03 08:22:52-05
186127	140	110042	7	1	40	2	2013-05-03 08:22:52-05
186128	140	111187	8	1	40	2	2013-05-03 08:22:52-05
186129	140	111192	9	1	40	2	2013-05-03 08:22:52-05
186130	140	109719	10	1	40	2	2013-05-03 08:22:52-05
186131	140	109721	0	0	40	3	2013-05-03 08:22:52-05
186132	140	110871	1	0	40	3	2013-05-03 08:22:52-05
186133	140	109672	2	0	40	3	2013-05-03 08:22:52-05
186134	140	110815	3	0	40	3	2013-05-03 08:22:52-05
186135	140	111182	4	0	40	3	2013-05-03 08:22:52-05
186136	140	108943	5	0	40	3	2013-05-03 08:22:52-05
186137	140	108942	6	0	40	3	2013-05-03 08:22:52-05
186138	140	110471	7	0	40	3	2013-05-03 08:22:52-05
186139	140	110100	8	0	40	3	2013-05-03 08:22:52-05
186140	140	110098	9	0	40	3	2013-05-03 08:22:52-05
186141	140	111408	10	0	40	3	2013-05-03 08:22:52-05
186142	140	110559	0	0	40	4	2013-05-03 08:22:52-05
186143	140	111316	1	0	40	4	2013-05-03 08:22:52-05
186144	140	109949	2	0	40	4	2013-05-03 08:22:52-05
186145	142	109612	0	1	40	4	2013-05-03 08:22:52-05
186146	142	109614	1	1	40	4	2013-05-03 08:22:52-05
186147	142	109651	2	1	40	4	2013-05-03 08:22:52-05
186148	142	109615	3	1	40	4	2013-05-03 08:22:52-05
186149	142	109616	4	1	40	4	2013-05-03 08:22:52-05
186150	142	109997	5	1	40	4	2013-05-03 08:22:52-05
186151	142	108904	6	1	40	4	2013-05-03 08:22:52-05
186152	142	110342	7	1	40	4	2013-05-03 08:22:52-05
186153	142	110357	8	1	40	4	2013-05-03 08:22:52-05
186154	142	109617	9	1	40	4	2013-05-03 08:22:52-05
186155	142	111459	10	1	40	4	2013-05-03 08:22:52-05
186156	142	108905	11	1	40	4	2013-05-03 08:22:52-05
186157	142	109272	12	1	40	4	2013-05-03 08:22:52-05
186158	142	110023	13	1	40	4	2013-05-03 08:22:52-05
186159	142	110803	14	1	40	4	2013-05-03 08:22:52-05
186160	142	111404	15	1	40	4	2013-05-03 08:22:52-05
186161	142	110099	16	1	40	4	2013-05-03 08:22:52-05
186162	142	110469	17	1	40	4	2013-05-03 08:22:52-05
186163	142	111564	18	1	40	4	2013-05-03 08:22:52-05
186164	142	111504	19	1	40	4	2013-05-03 08:22:52-05
186165	142	109667	20	1	40	4	2013-05-03 08:22:52-05
186166	142	110038	21	1	40	4	2013-05-03 08:22:52-05
186167	142	110039	22	1	40	4	2013-05-03 08:22:52-05
186168	142	110405	23	1	40	4	2013-05-03 08:22:52-05
186169	142	110046	24	1	40	4	2013-05-03 08:22:52-05
186170	142	110428	25	1	40	4	2013-05-03 08:22:52-05
186171	142	110431	26	1	40	4	2013-05-03 08:22:52-05
186172	142	110673	27	1	40	4	2013-05-03 08:22:52-05
186173	142	110674	28	1	40	4	2013-05-03 08:22:52-05
186174	142	111378	29	1	40	4	2013-05-03 08:22:52-05
186175	142	109612	0	1	40	2	2013-05-03 08:22:52-05
186176	142	109614	1	1	40	2	2013-05-03 08:22:52-05
186177	142	109651	2	1	40	2	2013-05-03 08:22:52-05
186178	142	109615	3	1	40	2	2013-05-03 08:22:52-05
186179	142	109616	4	1	40	2	2013-05-03 08:22:52-05
186180	142	109997	5	1	40	2	2013-05-03 08:22:52-05
186181	142	108904	6	1	40	2	2013-05-03 08:22:52-05
186182	142	110342	7	1	40	2	2013-05-03 08:22:52-05
186183	142	110357	8	1	40	2	2013-05-03 08:22:52-05
186184	142	109617	9	1	40	2	2013-05-03 08:22:52-05
186185	142	111459	10	1	40	2	2013-05-03 08:22:52-05
186186	142	108905	11	1	40	2	2013-05-03 08:22:52-05
186187	142	109272	12	1	40	2	2013-05-03 08:22:52-05
186188	142	110023	13	1	40	2	2013-05-03 08:22:52-05
186189	142	110803	14	1	40	2	2013-05-03 08:22:52-05
186190	142	111404	15	1	40	2	2013-05-03 08:22:52-05
186191	142	110099	16	1	40	2	2013-05-03 08:22:52-05
186192	142	110469	17	1	40	2	2013-05-03 08:22:52-05
186193	142	111564	18	1	40	2	2013-05-03 08:22:52-05
186194	142	111504	19	1	40	2	2013-05-03 08:22:52-05
186195	142	109667	20	1	40	2	2013-05-03 08:22:52-05
186196	142	110038	21	1	40	2	2013-05-03 08:22:52-05
186197	142	110039	22	1	40	2	2013-05-03 08:22:52-05
186198	142	110405	23	1	40	2	2013-05-03 08:22:52-05
186199	142	110046	24	1	40	2	2013-05-03 08:22:52-05
186200	142	110428	25	1	40	2	2013-05-03 08:22:52-05
186201	142	110431	26	1	40	2	2013-05-03 08:22:52-05
186202	142	110673	27	1	40	2	2013-05-03 08:22:52-05
186203	142	110674	28	1	40	2	2013-05-03 08:22:52-05
186204	142	111378	29	1	40	2	2013-05-03 08:22:52-05
186205	142	109542	0	0	40	5	2013-05-03 08:22:52-05
186206	142	110430	1	0	40	5	2013-05-03 08:22:52-05
186207	142	110839	2	0	40	5	2013-05-03 08:22:52-05
186208	142	108980	3	0	40	5	2013-05-03 08:22:52-05
186209	142	109721	4	0	40	5	2013-05-03 08:22:52-05
186210	142	110871	5	0	40	5	2013-05-03 08:22:52-05
186211	142	109668	6	0	40	5	2013-05-03 08:22:52-05
186212	142	111182	7	0	40	5	2013-05-03 08:22:52-05
186213	142	108943	8	0	40	5	2013-05-03 08:22:52-05
186214	142	108942	9	0	40	5	2013-05-03 08:22:52-05
186215	142	110471	10	0	40	5	2013-05-03 08:22:52-05
186216	142	110100	11	0	40	5	2013-05-03 08:22:52-05
186217	142	110098	12	0	40	5	2013-05-03 08:22:52-05
186218	142	109197	13	0	40	5	2013-05-03 08:22:52-05
186219	142	109271	14	0	40	5	2013-05-03 08:22:52-05
186220	142	110799	15	0	40	5	2013-05-03 08:22:52-05
186221	142	109645	16	0	40	5	2013-05-03 08:22:52-05
186222	142	109598	17	0	40	5	2013-05-03 08:22:52-05
186223	142	109599	18	0	40	5	2013-05-03 08:22:52-05
186224	142	109600	19	0	40	5	2013-05-03 08:22:52-05
186225	142	110750	20	0	40	5	2013-05-03 08:22:52-05
186226	142	111113	21	0	40	5	2013-05-03 08:22:52-05
186227	142	109226	22	0	40	5	2013-05-03 08:22:52-05
186228	142	109979	23	0	40	5	2013-05-03 08:22:52-05
186229	142	111442	24	0	40	5	2013-05-03 08:22:52-05
186230	142	110772	25	0	40	5	2013-05-03 08:22:52-05
186231	142	110116	26	0	40	5	2013-05-03 08:22:52-05
186232	142	111457	27	0	40	5	2013-05-03 08:22:52-05
186233	142	110773	28	0	40	5	2013-05-03 08:22:52-05
186234	142	111259	29	0	40	5	2013-05-03 08:22:52-05
186235	142	109542	0	0	40	3	2013-05-03 08:22:52-05
186236	142	110430	1	0	40	3	2013-05-03 08:22:52-05
186237	142	110839	2	0	40	3	2013-05-03 08:22:52-05
186238	142	108980	3	0	40	3	2013-05-03 08:22:52-05
186239	142	109721	4	0	40	3	2013-05-03 08:22:52-05
186240	142	110871	5	0	40	3	2013-05-03 08:22:52-05
186241	142	109668	6	0	40	3	2013-05-03 08:22:52-05
186242	142	111182	7	0	40	3	2013-05-03 08:22:52-05
186243	142	108943	8	0	40	3	2013-05-03 08:22:53-05
186244	142	108942	9	0	40	3	2013-05-03 08:22:53-05
186245	142	110471	10	0	40	3	2013-05-03 08:22:53-05
186246	142	110100	11	0	40	3	2013-05-03 08:22:53-05
186247	142	110098	12	0	40	3	2013-05-03 08:22:53-05
186248	142	109197	13	0	40	3	2013-05-03 08:22:53-05
186249	142	109271	14	0	40	3	2013-05-03 08:22:53-05
186250	142	110799	15	0	40	3	2013-05-03 08:22:53-05
186251	142	109645	16	0	40	3	2013-05-03 08:22:53-05
186252	142	109598	17	0	40	3	2013-05-03 08:22:53-05
186253	142	109599	18	0	40	3	2013-05-03 08:22:53-05
186254	142	109600	19	0	40	3	2013-05-03 08:22:53-05
186255	142	110750	20	0	40	3	2013-05-03 08:22:53-05
186256	142	110893	21	0	40	3	2013-05-03 08:22:53-05
186257	142	109648	22	0	40	3	2013-05-03 08:22:53-05
186258	142	110389	23	0	40	3	2013-05-03 08:22:53-05
186259	142	110800	24	0	40	3	2013-05-03 08:22:53-05
186260	142	108931	25	0	40	3	2013-05-03 08:22:53-05
186261	142	110131	26	0	40	3	2013-05-03 08:22:53-05
186262	142	109980	27	0	40	3	2013-05-03 08:22:53-05
186263	142	110772	28	0	40	3	2013-05-03 08:22:53-05
186264	142	110116	29	0	40	3	2013-05-03 08:22:53-05
186265	142	111457	30	0	40	3	2013-05-03 08:22:53-05
186266	142	110773	31	0	40	3	2013-05-03 08:22:53-05
186267	142	111259	32	0	40	3	2013-05-03 08:22:53-05
186268	142	110100	0	0	40	10	2013-05-03 08:22:53-05
186269	142	110098	1	0	40	10	2013-05-03 08:22:53-05
186270	142	109197	2	0	40	10	2013-05-03 08:22:53-05
186271	142	109271	3	0	40	10	2013-05-03 08:22:53-05
186272	142	110799	4	0	40	10	2013-05-03 08:22:53-05
186273	142	109645	5	0	40	10	2013-05-03 08:22:53-05
186274	142	109598	6	0	40	10	2013-05-03 08:22:53-05
186275	142	109599	7	0	40	10	2013-05-03 08:22:53-05
186276	142	109600	8	0	40	10	2013-05-03 08:22:53-05
186277	142	110750	9	0	40	10	2013-05-03 08:22:53-05
186278	142	110893	10	0	40	10	2013-05-03 08:22:53-05
186279	142	109648	11	0	40	10	2013-05-03 08:22:53-05
186280	142	110389	12	0	40	10	2013-05-03 08:22:53-05
186281	142	110800	13	0	40	10	2013-05-03 08:22:53-05
186282	142	108931	14	0	40	10	2013-05-03 08:22:53-05
186283	142	110131	15	0	40	10	2013-05-03 08:22:53-05
186284	142	109980	16	0	40	10	2013-05-03 08:22:53-05
186285	142	110772	17	0	40	10	2013-05-03 08:22:53-05
186286	142	110116	18	0	40	10	2013-05-03 08:22:53-05
186287	142	111457	19	0	40	10	2013-05-03 08:22:53-05
186288	142	110773	20	0	40	10	2013-05-03 08:22:53-05
186289	142	111259	21	0	40	10	2013-05-03 08:22:53-05
186290	150	110318	0	1	40	2	2013-05-03 08:22:53-05
186291	150	111087	1	1	40	2	2013-05-03 08:22:53-05
186292	150	108858	2	1	40	2	2013-05-03 08:22:53-05
186293	150	111088	3	1	40	2	2013-05-03 08:22:53-05
186294	150	109204	4	1	40	2	2013-05-03 08:22:53-05
186295	150	109957	5	1	40	2	2013-05-03 08:22:53-05
186296	150	111416	6	1	40	2	2013-05-03 08:22:53-05
186297	150	111190	7	1	40	2	2013-05-03 08:22:53-05
186298	150	109294	8	1	40	2	2013-05-03 08:22:53-05
186299	150	109719	0	0	40	3	2013-05-03 08:22:53-05
186300	150	111233	1	0	40	3	2013-05-03 08:22:53-05
186301	150	110463	2	0	40	3	2013-05-03 08:22:53-05
186302	150	111414	3	0	40	3	2013-05-03 08:22:53-05
186303	150	109574	4	0	40	3	2013-05-03 08:22:53-05
186304	150	110320	5	0	40	3	2013-05-03 08:22:53-05
186305	150	111413	6	0	40	3	2013-05-03 08:22:53-05
186306	150	110319	7	0	40	3	2013-05-03 08:22:53-05
186307	150	110716	8	0	40	3	2013-05-03 08:22:53-05
186308	150	109202	9	0	40	3	2013-05-03 08:22:53-05
186309	150	109572	10	0	40	3	2013-05-03 08:22:53-05
186310	217	110060	0	1	40	2	2013-05-03 08:22:53-05
186311	217	111207	1	1	40	2	2013-05-03 08:22:53-05
186312	217	111532	2	1	40	2	2013-05-03 08:22:53-05
186313	217	109014	3	1	40	2	2013-05-03 08:22:53-05
186314	217	109702	0	0	40	3	2013-05-03 08:22:53-05
186315	217	109318	1	0	40	3	2013-05-03 08:22:53-05
186316	217	110425	2	0	40	3	2013-05-03 08:22:53-05
186317	217	110424	3	0	40	3	2013-05-03 08:22:53-05
186318	217	110423	4	0	40	3	2013-05-03 08:22:53-05
186319	220	111475	0	1	40	2	2013-05-03 08:22:53-05
186320	220	110018	1	1	40	2	2013-05-03 08:22:53-05
186321	220	110793	2	1	40	2	2013-05-03 08:22:53-05
186322	220	110296	3	1	40	2	2013-05-03 08:22:53-05
186323	220	111044	4	1	40	2	2013-05-03 08:22:53-05
186324	220	111142	5	1	40	2	2013-05-03 08:22:53-05
186325	220	110009	6	1	40	2	2013-05-03 08:22:53-05
186326	220	110073	7	1	40	2	2013-05-03 08:22:53-05
186327	220	110839	8	1	40	2	2013-05-03 08:22:53-05
186328	220	111555	9	1	40	2	2013-05-03 08:22:53-05
186329	220	111231	10	1	40	2	2013-05-03 08:22:53-05
186330	220	110462	11	1	40	2	2013-05-03 08:22:53-05
186331	220	109342	12	1	40	2	2013-05-03 08:22:53-05
186332	220	110040	13	1	40	2	2013-05-03 08:22:53-05
186333	220	111508	0	0	40	3	2013-05-03 08:22:53-05
186334	220	110816	1	0	40	3	2013-05-03 08:22:53-05
186335	220	111194	2	0	40	3	2013-05-03 08:22:53-05
186336	220	109718	3	0	40	3	2013-05-03 08:22:53-05
186337	220	110427	4	0	40	3	2013-05-03 08:22:53-05
186338	220	110431	5	0	40	3	2013-05-03 08:22:53-05
186339	220	110673	6	0	40	3	2013-05-03 08:22:53-05
186340	220	110674	7	0	40	3	2013-05-03 08:22:53-05
186341	220	109255	8	0	40	3	2013-05-03 08:22:53-05
186342	220	110008	9	0	40	3	2013-05-03 08:22:53-05
186343	220	111059	10	0	40	3	2013-05-03 08:22:53-05
186344	220	110381	11	0	40	3	2013-05-03 08:22:53-05
186345	220	108816	12	0	40	3	2013-05-03 08:22:53-05
186346	220	111053	13	0	40	3	2013-05-03 08:22:53-05
186347	220	108923	14	0	40	3	2013-05-03 08:22:53-05
186348	220	110792	15	0	40	3	2013-05-03 08:22:53-05
186349	232	108866	0	1	40	4	2013-05-03 08:22:53-05
186350	232	111566	1	1	40	4	2013-05-03 08:22:53-05
186351	232	108985	2	1	40	4	2013-05-03 08:22:53-05
186352	232	109730	3	1	40	4	2013-05-03 08:22:53-05
186353	232	110472	4	1	40	4	2013-05-03 08:22:53-05
186354	232	110877	5	1	40	4	2013-05-03 08:22:53-05
186355	232	109346	6	1	40	4	2013-05-03 08:22:53-05
186356	232	109578	7	1	40	4	2013-05-03 08:22:53-05
186357	232	109579	8	1	40	4	2013-05-03 08:22:53-05
186358	232	110481	9	1	40	4	2013-05-03 08:22:53-05
186359	232	109961	10	1	40	4	2013-05-03 08:22:53-05
186360	232	109208	11	1	40	4	2013-05-03 08:22:53-05
186361	232	111422	12	1	40	4	2013-05-03 08:22:53-05
186362	232	109580	13	1	40	4	2013-05-03 08:22:53-05
186363	232	109582	14	1	40	4	2013-05-03 08:22:53-05
186364	232	108867	15	1	40	4	2013-05-03 08:22:53-05
186365	232	110725	16	1	40	4	2013-05-03 08:22:53-05
186366	232	110726	17	1	40	4	2013-05-03 08:22:53-05
186367	232	110324	18	1	40	4	2013-05-03 08:22:53-05
186368	232	111095	19	1	40	4	2013-05-03 08:22:53-05
186369	232	109963	20	1	40	4	2013-05-03 08:22:53-05
186370	232	110694	21	1	40	4	2013-05-03 08:22:53-05
186371	232	108832	22	1	40	4	2013-05-03 08:22:53-05
186372	232	109714	23	1	40	4	2013-05-03 08:22:53-05
186373	232	110673	0	0	40	2	2013-05-03 08:22:53-05
186374	232	110674	1	0	40	2	2013-05-03 08:22:53-05
186375	232	110783	2	0	40	2	2013-05-03 08:22:53-05
186376	232	109259	3	0	40	2	2013-05-03 08:22:53-05
186377	232	109631	4	0	40	2	2013-05-03 08:22:53-05
186378	232	110475	5	0	40	2	2013-05-03 08:22:53-05
186379	232	109715	6	0	40	2	2013-05-03 08:22:53-05
186380	232	108866	0	1	40	3	2013-05-03 08:22:53-05
186381	232	111566	1	1	40	3	2013-05-03 08:22:53-05
186382	232	108985	2	1	40	3	2013-05-03 08:22:53-05
186383	232	109730	3	1	40	3	2013-05-03 08:22:53-05
186384	232	110472	4	1	40	3	2013-05-03 08:22:53-05
186385	232	110877	5	1	40	3	2013-05-03 08:22:53-05
186386	232	109346	6	1	40	3	2013-05-03 08:22:53-05
186387	232	109578	7	1	40	3	2013-05-03 08:22:53-05
186388	232	109579	8	1	40	3	2013-05-03 08:22:53-05
186389	232	110481	9	1	40	3	2013-05-03 08:22:53-05
186390	232	109961	10	1	40	3	2013-05-03 08:22:53-05
186391	232	109208	11	1	40	3	2013-05-03 08:22:53-05
186392	232	111422	12	1	40	3	2013-05-03 08:22:53-05
186393	232	109580	13	1	40	3	2013-05-03 08:22:53-05
186394	232	109582	14	1	40	3	2013-05-03 08:22:53-05
186395	232	108867	15	1	40	3	2013-05-03 08:22:53-05
186396	232	110725	16	1	40	3	2013-05-03 08:22:53-05
186397	232	110726	17	1	40	3	2013-05-03 08:22:53-05
186398	232	110324	18	1	40	3	2013-05-03 08:22:53-05
186399	232	111095	19	1	40	3	2013-05-03 08:22:53-05
186400	232	109963	20	1	40	3	2013-05-03 08:22:53-05
186401	232	110694	21	1	40	3	2013-05-03 08:22:53-05
186402	232	108832	22	1	40	3	2013-05-03 08:22:53-05
186403	232	109714	23	1	40	3	2013-05-03 08:22:53-05
186404	232	110092	24	1	40	3	2013-05-03 08:22:53-05
186405	232	110865	25	1	40	3	2013-05-03 08:22:53-05
186406	232	111227	26	1	40	3	2013-05-03 08:22:53-05
186407	232	110867	27	1	40	3	2013-05-03 08:22:53-05
186408	232	111210	28	1	40	3	2013-05-03 08:22:53-05
186409	232	110431	29	1	40	3	2013-05-03 08:22:53-05
186410	232	110092	0	1	40	10	2013-05-03 08:22:53-05
186411	232	110865	1	1	40	10	2013-05-03 08:22:53-05
186412	232	111227	2	1	40	10	2013-05-03 08:22:53-05
186413	232	110867	3	1	40	10	2013-05-03 08:22:53-05
186414	232	111210	4	1	40	10	2013-05-03 08:22:53-05
186415	232	110431	5	1	40	10	2013-05-03 08:22:53-05
186416	243	110114	0	1	40	2	2013-05-03 08:22:53-05
186417	243	110027	1	1	40	2	2013-05-03 08:22:53-05
186418	243	111168	2	1	40	2	2013-05-03 08:22:53-05
186419	243	110812	3	1	40	2	2013-05-03 08:22:53-05
186420	243	109279	4	1	40	2	2013-05-03 08:22:53-05
186421	243	109661	5	1	40	2	2013-05-03 08:22:53-05
186422	243	109280	6	1	40	2	2013-05-03 08:22:53-05
186423	243	111178	7	1	40	2	2013-05-03 08:22:53-05
186424	243	109990	8	1	40	2	2013-05-03 08:22:53-05
186425	243	110355	9	1	40	2	2013-05-03 08:22:53-05
186426	243	109245	10	1	40	2	2013-05-03 08:22:53-05
186427	243	108902	11	1	40	2	2013-05-03 08:22:53-05
186428	243	109266	12	1	40	2	2013-05-03 08:22:53-05
186429	243	111147	13	1	40	2	2013-05-03 08:22:53-05
186430	243	108921	14	1	40	2	2013-05-03 08:22:53-05
186431	243	110791	15	1	40	2	2013-05-03 08:22:53-05
186432	243	109665	16	1	40	2	2013-05-03 08:22:53-05
186433	243	110719	17	1	40	2	2013-05-03 08:22:53-05
186434	243	108863	18	1	40	2	2013-05-03 08:22:53-05
186435	243	109577	19	1	40	2	2013-05-03 08:22:53-05
186436	243	110720	20	1	40	2	2013-05-03 08:22:53-05
186437	243	111421	21	1	40	2	2013-05-03 08:22:53-05
186438	243	109556	22	1	40	2	2013-05-03 08:22:53-05
186439	243	111226	23	1	40	2	2013-05-03 08:22:53-05
186440	243	108922	0	0	40	18	2013-05-03 08:22:53-05
186441	243	110373	1	0	40	18	2013-05-03 08:22:53-05
186442	243	108825	2	0	40	18	2013-05-03 08:22:53-05
186443	243	111057	3	0	40	18	2013-05-03 08:22:53-05
186444	243	109551	4	0	40	18	2013-05-03 08:22:53-05
186445	243	109922	5	0	40	18	2013-05-03 08:22:53-05
186446	243	109552	6	0	40	18	2013-05-03 08:22:53-05
186447	243	111477	7	0	40	18	2013-05-03 08:22:53-05
186448	243	110017	8	0	40	18	2013-05-03 08:22:53-05
186449	243	110374	9	0	40	18	2013-05-03 08:22:53-05
186450	243	109634	10	0	40	18	2013-05-03 08:22:53-05
186451	243	111478	11	0	40	18	2013-05-03 08:22:53-05
186452	243	110484	12	0	40	18	2013-05-03 08:22:53-05
186453	243	109735	13	0	40	18	2013-05-03 08:22:53-05
186454	243	110113	14	0	40	18	2013-05-03 08:22:53-05
186455	243	111245	15	0	40	18	2013-05-03 08:22:53-05
186456	243	110485	16	0	40	18	2013-05-03 08:22:53-05
186457	243	109733	17	0	40	18	2013-05-03 08:22:53-05
186458	243	109357	18	0	40	18	2013-05-03 08:22:53-05
186459	243	111402	19	0	40	18	2013-05-03 08:22:53-05
186460	243	111552	0	0	40	15	2013-05-03 08:22:53-05
186461	243	108922	1	0	40	15	2013-05-03 08:22:53-05
186462	243	110373	2	0	40	15	2013-05-03 08:22:53-05
186463	243	108825	3	0	40	15	2013-05-03 08:22:53-05
186464	243	111057	4	0	40	15	2013-05-03 08:22:53-05
186465	243	109551	5	0	40	15	2013-05-03 08:22:53-05
186466	243	109922	6	0	40	15	2013-05-03 08:22:53-05
186467	243	109552	7	0	40	15	2013-05-03 08:22:53-05
