LINESTOPID	STOPSEQUENCE	ORIENTATION	LINEID	STOPID	PLANVERSIONID	LINEVARIANT	REGISTERDATE	LINEVARIANTTYPE
139304	9	1	131	502150	40	10	2013-05-03 08:19:55	1
139305	10	1	131	502200	40	10	2013-05-03 08:19:55	1
139306	11	1	131	502250	40	10	2013-05-03 08:19:55	1
139307	12	1	131	502300	40	10	2013-05-03 08:19:55	1
139308	1	1	131	501852	40	18	2013-05-03 08:19:55	1
139309	2	1	131	501900	40	18	2013-05-03 08:19:55	1
139310	3	1	131	501950	40	18	2013-05-03 08:19:55	1
139311	4	1	131	502000	40	18	2013-05-03 08:19:55	1
139312	5	1	131	502050	40	18	2013-05-03 08:19:55	1
139313	6	1	131	502102	40	18	2013-05-03 08:19:55	1
139314	7	1	131	502150	40	18	2013-05-03 08:19:55	1
139315	8	1	131	502200	40	18	2013-05-03 08:19:55	1
139316	9	1	131	502250	40	18	2013-05-03 08:19:55	1
139317	10	1	131	502300	40	18	2013-05-03 08:19:55	1
139318	1	0	131	501853	40	21	2013-05-03 08:19:55	1
139319	2	0	131	501803	40	21	2013-05-03 08:19:55	1
139320	3	0	131	501753	40	21	2013-05-03 08:19:55	1
139321	4	0	131	501701	40	21	2013-05-03 08:19:55	1
139322	5	0	131	501651	40	21	2013-05-03 08:19:55	1
139323	6	0	131	501601	40	21	2013-05-03 08:19:55	1
139324	7	0	131	501001	40	21	2013-05-03 08:19:55	1
139325	8	0	131	501401	40	21	2013-05-03 08:19:55	1
139326	9	0	131	501450	40	21	2013-05-03 08:19:55	1
139327	10	0	131	501500	40	21	2013-05-03 08:19:55	1
139328	11	0	131	501550	40	21	2013-05-03 08:19:55	1
139329	12	0	131	500601	40	21	2013-05-03 08:19:55	1
139330	13	0	131	500700	40	21	2013-05-03 08:19:55	1
139331	14	0	131	500650	40	21	2013-05-03 08:19:55	1
139332	15	0	131	500451	40	21	2013-05-03 08:19:55	1
139333	16	0	131	500401	40	21	2013-05-03 08:19:55	1
139334	17	0	131	500353	40	21	2013-05-03 08:19:55	1
139335	18	0	131	500301	40	21	2013-05-03 08:19:55	1
139336	19	0	131	500251	40	21	2013-05-03 08:19:55	1
139337	20	0	131	500201	40	21	2013-05-03 08:19:55	1
139338	1	1	140	500159	40	2	2013-05-03 08:19:55	1
139339	2	1	140	501052	40	2	2013-05-03 08:19:55	1
139340	3	1	140	501100	40	2	2013-05-03 08:19:55	1
139341	4	1	140	501150	40	2	2013-05-03 08:19:55	1
139342	5	1	140	501200	40	2	2013-05-03 08:19:55	1
139343	6	1	140	501250	40	2	2013-05-03 08:19:55	1
139344	7	1	140	501300	40	2	2013-05-03 08:19:55	1
139345	8	1	140	501350	40	2	2013-05-03 08:19:55	1
139346	9	1	140	501450	40	2	2013-05-03 08:19:55	1
139347	10	1	140	501500	40	2	2013-05-03 08:19:55	1
139348	11	1	140	501550	40	2	2013-05-03 08:19:55	1
139349	12	1	140	500751	40	2	2013-05-03 08:19:55	1
139350	1	0	140	500751	40	3	2013-05-03 08:19:55	1
139351	2	0	140	500851	40	3	2013-05-03 08:19:55	1
139352	3	0	140	500950	40	3	2013-05-03 08:19:55	1
139353	4	0	140	501403	40	3	2013-05-03 08:19:55	1
139354	5	0	140	501351	40	3	2013-05-03 08:19:55	1
139355	6	0	140	501301	40	3	2013-05-03 08:19:55	1
139356	7	0	140	501251	40	3	2013-05-03 08:19:55	1
139357	8	0	140	501201	40	3	2013-05-03 08:19:55	1
139358	9	0	140	501151	40	3	2013-05-03 08:19:55	1
139359	10	0	140	501101	40	3	2013-05-03 08:19:55	1
139360	11	0	140	501051	40	3	2013-05-03 08:19:55	1
139361	12	0	140	500163	40	3	2013-05-03 08:19:55	1
139362	1	0	140	500163	40	4	2013-05-03 08:19:55	3
139363	2	0	140	600163	40	4	2013-05-03 08:19:55	3
139364	3	0	140	600159	40	4	2013-05-03 08:19:55	3
139365	4	0	140	500159	40	4	2013-05-03 08:19:55	3
139366	1	1	142	514405	40	2	2013-05-03 08:19:55	1
139367	2	1	142	514206	40	2	2013-05-03 08:19:55	1
139368	3	1	142	514207	40	2	2013-05-03 08:19:55	1
139369	4	1	142	514039	40	2	2013-05-03 08:19:55	1
139370	5	1	142	514208	40	2	2013-05-03 08:19:55	1
139371	6	1	142	514209	40	2	2013-05-03 08:19:55	1
139372	7	1	142	514210	40	2	2013-05-03 08:19:55	1
139373	8	1	142	514211	40	2	2013-05-03 08:19:55	1
139374	9	1	142	514147	40	2	2013-05-03 08:19:55	1
139375	10	1	142	514212	40	2	2013-05-03 08:19:55	1
139376	11	1	142	514213	40	2	2013-05-03 08:19:55	1
139377	12	1	142	514214	40	2	2013-05-03 08:19:55	1
139378	13	1	142	514215	40	2	2013-05-03 08:19:55	1
139379	14	1	142	514022	40	2	2013-05-03 08:19:55	1
139380	15	1	142	514055	40	2	2013-05-03 08:19:55	1
139381	16	1	142	514056	40	2	2013-05-03 08:19:55	1
139382	17	1	142	500159	40	2	2013-05-03 08:19:55	1
139383	18	1	142	501052	40	2	2013-05-03 08:19:55	1
139384	19	1	142	501100	40	2	2013-05-03 08:19:55	1
139385	20	1	142	501150	40	2	2013-05-03 08:19:55	1
139386	21	1	142	501200	40	2	2013-05-03 08:19:55	1
139387	22	1	142	501250	40	2	2013-05-03 08:19:55	1
139388	23	1	142	501300	40	2	2013-05-03 08:19:55	1
139389	24	1	142	501350	40	2	2013-05-03 08:19:55	1
139390	25	1	142	501500	40	2	2013-05-03 08:19:55	1
139391	26	1	142	501552	40	2	2013-05-03 08:19:55	1
139392	27	1	142	502351	40	2	2013-05-03 08:19:55	1
139393	28	1	142	502401	40	2	2013-05-03 08:19:55	1
139394	29	1	142	512020	40	2	2013-05-03 08:19:55	1
139395	30	1	142	512021	40	2	2013-05-03 08:19:55	1
139396	31	1	142	512022	40	2	2013-05-03 08:19:55	1
139397	1	0	142	512022	40	3	2013-05-03 08:19:55	1
139398	2	0	142	512023	40	3	2013-05-03 08:19:55	1
139399	3	0	142	502400	40	3	2013-05-03 08:19:55	1
139400	4	0	142	502350	40	3	2013-05-03 08:19:55	1
139401	5	0	142	500751	40	3	2013-05-03 08:19:55	1
139402	6	0	142	500851	40	3	2013-05-03 08:19:55	1
139403	7	0	142	500950	40	3	2013-05-03 08:19:55	1
139404	8	0	142	501351	40	3	2013-05-03 08:19:55	1
139405	9	0	142	501301	40	3	2013-05-03 08:19:55	1
139406	10	0	142	501251	40	3	2013-05-03 08:19:55	1
139407	11	0	142	501201	40	3	2013-05-03 08:19:55	1
139408	12	0	142	501151	40	3	2013-05-03 08:19:55	1
139409	13	0	142	501101	40	3	2013-05-03 08:19:55	1
139410	14	0	142	501051	40	3	2013-05-03 08:19:55	1
139411	15	0	142	500156	40	3	2013-05-03 08:19:55	1
139412	16	0	142	514020	40	3	2013-05-03 08:19:55	1
139413	17	0	142	514021	40	3	2013-05-03 08:19:55	1
139414	18	0	142	514022	40	3	2013-05-03 08:19:55	1
139415	19	0	142	514194	40	3	2013-05-03 08:19:55	1
139416	20	0	142	514195	40	3	2013-05-03 08:19:55	1
139417	21	0	142	514196	40	3	2013-05-03 08:19:55	1
139418	22	0	142	514197	40	3	2013-05-03 08:19:55	1
139419	23	0	142	514321	40	3	2013-05-03 08:19:55	1
139420	24	0	142	514029	40	3	2013-05-03 08:19:55	1
139421	25	0	142	514030	40	3	2013-05-03 08:19:55	1
139422	26	0	142	514031	40	3	2013-05-03 08:19:55	1
139423	27	0	142	514032	40	3	2013-05-03 08:19:55	1
139424	28	0	142	514322	40	3	2013-05-03 08:19:55	1
139425	29	0	142	514201	40	3	2013-05-03 08:19:55	1
139426	30	0	142	514202	40	3	2013-05-03 08:19:55	1
139427	31	0	142	514232	40	3	2013-05-03 08:19:55	1
139428	32	0	142	514204	40	3	2013-05-03 08:19:55	1
139429	33	0	142	514205	40	3	2013-05-03 08:19:55	1
139430	34	0	142	514405	40	3	2013-05-03 08:19:55	1
139431	1	1	142	514405	40	4	2013-05-03 08:19:55	1
139432	2	1	142	514206	40	4	2013-05-03 08:19:55	1
139433	3	1	142	514207	40	4	2013-05-03 08:19:55	1
139434	4	1	142	514039	40	4	2013-05-03 08:19:55	1
139435	5	1	142	514208	40	4	2013-05-03 08:19:55	1
139436	6	1	142	514209	40	4	2013-05-03 08:19:55	1
139437	7	1	142	514210	40	4	2013-05-03 08:19:55	1
139438	8	1	142	514211	40	4	2013-05-03 08:19:55	1
139439	9	1	142	514147	40	4	2013-05-03 08:19:55	1
139440	10	1	142	514212	40	4	2013-05-03 08:19:55	1
139441	11	1	142	514213	40	4	2013-05-03 08:19:55	1
139442	12	1	142	514214	40	4	2013-05-03 08:19:55	1
139443	13	1	142	514215	40	4	2013-05-03 08:19:55	1
139444	14	1	142	514022	40	4	2013-05-03 08:19:55	1
139445	15	1	142	514055	40	4	2013-05-03 08:19:55	1
139446	16	1	142	514056	40	4	2013-05-03 08:19:55	1
139447	17	1	142	500159	40	4	2013-05-03 08:19:55	1
139448	18	1	142	501052	40	4	2013-05-03 08:19:55	1
139449	19	1	142	501100	40	4	2013-05-03 08:19:55	1
139450	20	1	142	501150	40	4	2013-05-03 08:19:55	1
139451	21	1	142	501200	40	4	2013-05-03 08:19:55	1
139452	22	1	142	501250	40	4	2013-05-03 08:19:55	1
139453	23	1	142	501300	40	4	2013-05-03 08:19:55	1
139454	24	1	142	501350	40	4	2013-05-03 08:19:55	1
139455	25	1	142	501500	40	4	2013-05-03 08:19:55	1
139456	26	1	142	501552	40	4	2013-05-03 08:19:55	1
139457	27	1	142	502351	40	4	2013-05-03 08:19:55	1
139458	28	1	142	502401	40	4	2013-05-03 08:19:55	1
139459	29	1	142	512020	40	4	2013-05-03 08:19:55	1
139460	30	1	142	512021	40	4	2013-05-03 08:19:55	1
139461	31	1	142	512022	40	4	2013-05-03 08:19:55	1
139462	1	0	142	512022	40	5	2013-05-03 08:19:55	1
139463	2	0	142	512023	40	5	2013-05-03 08:19:55	1
139464	3	0	142	502400	40	5	2013-05-03 08:19:55	1
139465	4	0	142	502350	40	5	2013-05-03 08:19:55	1
139466	5	0	142	500751	40	5	2013-05-03 08:19:55	1
139467	6	0	142	500851	40	5	2013-05-03 08:19:55	1
139468	7	0	142	500950	40	5	2013-05-03 08:19:55	1
139469	8	0	142	501351	40	5	2013-05-03 08:19:55	1
139470	9	0	142	501301	40	5	2013-05-03 08:19:55	1
139471	10	0	142	501251	40	5	2013-05-03 08:19:55	1
139472	11	0	142	501201	40	5	2013-05-03 08:19:55	1
139473	12	0	142	501151	40	5	2013-05-03 08:19:55	1
139474	13	0	142	501101	40	5	2013-05-03 08:19:55	1
139475	14	0	142	501051	40	5	2013-05-03 08:19:55	1
139476	15	0	142	500156	40	5	2013-05-03 08:19:55	1
139477	16	0	142	514020	40	5	2013-05-03 08:19:55	1
139478	17	0	142	514021	40	5	2013-05-03 08:19:55	1
139479	18	0	142	514022	40	5	2013-05-03 08:19:55	1
139480	19	0	142	514194	40	5	2013-05-03 08:19:55	1
139481	20	0	142	514195	40	5	2013-05-03 08:19:55	1
139482	21	0	142	514196	40	5	2013-05-03 08:19:55	1
139483	22	0	142	514197	40	5	2013-05-03 08:19:55	1
139484	23	0	142	514198	40	5	2013-05-03 08:19:55	1
139485	24	0	142	514199	40	5	2013-05-03 08:19:55	1
139486	25	0	142	514200	40	5	2013-05-03 08:19:55	1
139487	26	0	142	514201	40	5	2013-05-03 08:19:55	1
139488	27	0	142	514202	40	5	2013-05-03 08:19:55	1
139489	28	0	142	514232	40	5	2013-05-03 08:19:55	1
139490	29	0	142	514204	40	5	2013-05-03 08:19:55	1
139491	30	0	142	514205	40	5	2013-05-03 08:19:55	1
139492	31	0	142	514405	40	5	2013-05-03 08:19:55	1
139493	1	0	142	501151	40	10	2013-05-03 08:19:55	1
139494	2	0	142	501101	40	10	2013-05-03 08:19:55	1
139495	3	0	142	501051	40	10	2013-05-03 08:19:55	1
139496	4	0	142	500156	40	10	2013-05-03 08:19:55	1
139497	5	0	142	514020	40	10	2013-05-03 08:19:55	1
139498	6	0	142	514021	40	10	2013-05-03 08:19:55	1
139499	7	0	142	514022	40	10	2013-05-03 08:19:55	1
139500	8	0	142	514194	40	10	2013-05-03 08:19:55	1
139501	9	0	142	514195	40	10	2013-05-03 08:19:55	1
139502	10	0	142	514196	40	10	2013-05-03 08:19:55	1
139503	11	0	142	514197	40	10	2013-05-03 08:19:55	1
139504	12	0	142	514321	40	10	2013-05-03 08:19:55	1
139505	13	0	142	514029	40	10	2013-05-03 08:19:55	1
139506	14	0	142	514030	40	10	2013-05-03 08:19:55	1
139507	15	0	142	514031	40	10	2013-05-03 08:19:55	1
139508	16	0	142	514032	40	10	2013-05-03 08:19:55	1
139509	17	0	142	514322	40	10	2013-05-03 08:19:55	1
139510	18	0	142	514201	40	10	2013-05-03 08:19:55	1
139511	19	0	142	514202	40	10	2013-05-03 08:19:55	1
139512	20	0	142	514232	40	10	2013-05-03 08:19:55	1
139513	21	0	142	514204	40	10	2013-05-03 08:19:55	1
139514	22	0	142	514205	40	10	2013-05-03 08:19:55	1
139515	23	0	142	514405	40	10	2013-05-03 08:19:55	1
139516	1	1	150	502600	40	2	2013-05-03 08:19:55	1
139517	2	1	150	502651	40	2	2013-05-03 08:19:55	1
139518	3	1	150	502701	40	2	2013-05-03 08:19:55	1
139519	4	1	150	502751	40	2	2013-05-03 08:19:55	1
139520	5	1	150	502801	40	2	2013-05-03 08:19:55	1
139521	6	1	150	502851	40	2	2013-05-03 08:19:55	1
139522	7	1	150	502901	40	2	2013-05-03 08:19:55	1
139523	8	1	150	502951	40	2	2013-05-03 08:19:55	1
139524	9	1	150	501501	40	2	2013-05-03 08:19:55	1
139525	10	1	150	501550	40	2	2013-05-03 08:19:55	1
139526	1	0	150	501550	40	3	2013-05-03 08:19:55	1
139527	2	0	150	500751	40	3	2013-05-03 08:19:55	1
139528	3	0	150	500850	40	3	2013-05-03 08:19:55	1
139529	4	0	150	500950	40	3	2013-05-03 08:19:55	1
139530	5	0	150	502950	40	3	2013-05-03 08:19:55	1
139531	6	0	150	502900	40	3	2013-05-03 08:19:55	1
139532	7	0	150	502850	40	3	2013-05-03 08:19:55	1
139533	8	0	150	502800	40	3	2013-05-03 08:19:55	1
139534	9	0	150	502750	40	3	2013-05-03 08:19:55	1
139535	10	0	150	502700	40	3	2013-05-03 08:19:55	1
139536	11	0	150	502650	40	3	2013-05-03 08:19:55	1
139537	12	0	150	502600	40	3	2013-05-03 08:19:55	1
139538	1	1	217	502103	40	2	2013-05-03 08:19:55	1
139539	2	1	217	502150	40	2	2013-05-03 08:19:55	1
139540	3	1	217	502200	40	2	2013-05-03 08:19:55	1
139541	4	1	217	511020	40	2	2013-05-03 08:19:55	1
139542	5	1	217	511361	40	2	2013-05-03 08:19:55	1
139543	1	0	217	511361	40	3	2013-05-03 08:19:55	1
139544	2	0	217	511041	40	3	2013-05-03 08:19:55	1
139545	3	0	217	511021	40	3	2013-05-03 08:19:55	1
139546	4	0	217	502201	40	3	2013-05-03 08:19:55	1
139547	5	0	217	502151	40	3	2013-05-03 08:19:55	1
139548	6	0	217	502103	40	3	2013-05-03 08:19:55	1
139549	1	1	220	513263	40	2	2013-05-03 08:19:55	1
139550	2	1	220	512129	40	2	2013-05-03 08:19:55	1
139551	3	1	220	513267	40	2	2013-05-03 08:19:55	1
139552	4	1	220	513269	40	2	2013-05-03 08:19:55	1
139553	5	1	220	513015	40	2	2013-05-03 08:19:55	1
139554	6	1	220	512037	40	2	2013-05-03 08:19:55	1
139555	7	1	220	512056	40	2	2013-05-03 08:19:55	1
139556	8	1	220	512057	40	2	2013-05-03 08:19:55	1
139557	9	1	220	502400	40	2	2013-05-03 08:19:55	1
139558	10	1	220	502350	40	2	2013-05-03 08:19:55	1
139559	11	1	220	500600	40	2	2013-05-03 08:19:55	1
139560	12	1	220	500800	40	2	2013-05-03 08:19:55	1
139561	13	1	220	500900	40	2	2013-05-03 08:19:55	1
139562	14	1	220	500952	40	2	2013-05-03 08:19:55	1
139563	15	1	220	501405	40	2	2013-05-03 08:19:55	1
139564	1	0	220	501405	40	3	2013-05-03 08:19:55	1
139565	2	0	220	501452	40	3	2013-05-03 08:19:55	1
139566	3	0	220	501502	40	3	2013-05-03 08:19:55	1
139567	4	0	220	501552	40	3	2013-05-03 08:19:55	1
139568	5	0	220	500603	40	3	2013-05-03 08:19:56	1
139569	6	0	220	502351	40	3	2013-05-03 08:19:56	1
139570	7	0	220	502401	40	3	2013-05-03 08:19:56	1
139571	8	0	220	512020	40	3	2013-05-03 08:19:56	1
139572	9	0	220	512021	40	3	2013-05-03 08:19:56	1
139573	10	0	220	512054	40	3	2013-05-03 08:19:56	1
139574	11	0	220	512055	40	3	2013-05-03 08:19:56	1
139575	12	0	220	513016	40	3	2013-05-03 08:19:56	1
139576	13	0	220	513270	40	3	2013-05-03 08:19:56	1
139577	14	0	220	512040	40	3	2013-05-03 08:19:56	1
139578	15	0	220	512140	40	3	2013-05-03 08:19:56	1
139579	16	0	220	513264	40	3	2013-05-03 08:19:56	1
139580	17	0	220	513263	40	3	2013-05-03 08:19:56	1
139581	1	0	232	502401	40	2	2013-05-03 08:19:56	1
139582	2	0	232	512020	40	2	2013-05-03 08:19:56	1
139583	3	0	232	512021	40	2	2013-05-03 08:19:56	1
139584	4	0	232	512105	40	2	2013-05-03 08:19:56	1
139585	5	0	232	512106	40	2	2013-05-03 08:19:56	1
139586	6	0	232	512107	40	2	2013-05-03 08:19:56	1
139587	7	0	232	513216	40	2	2013-05-03 08:19:56	1
139588	8	0	232	500301	40	2	2013-05-03 08:19:56	1
139589	1	1	232	500301	40	3	2013-05-03 08:19:56	1
139590	2	1	232	513089	40	3	2013-05-03 08:19:56	1
139591	3	1	232	513197	40	3	2013-05-03 08:19:56	1
139592	4	1	232	513198	40	3	2013-05-03 08:19:56	1
139593	5	1	232	513199	40	3	2013-05-03 08:19:56	1
139594	6	1	232	513200	40	3	2013-05-03 08:19:56	1
139595	7	1	232	513201	40	3	2013-05-03 08:19:56	1
139596	8	1	232	513202	40	3	2013-05-03 08:19:56	1
139597	9	1	232	513079	40	3	2013-05-03 08:19:56	1
139598	10	1	232	513080	40	3	2013-05-03 08:19:56	1
139599	11	1	232	513290	40	3	2013-05-03 08:19:56	1
139600	12	1	232	513082	40	3	2013-05-03 08:19:56	1
139601	13	1	232	513083	40	3	2013-05-03 08:19:56	1
139602	14	1	232	513084	40	3	2013-05-03 08:19:56	1
139603	15	1	232	513085	40	3	2013-05-03 08:19:56	1
139604	16	1	232	513096	40	3	2013-05-03 08:19:56	1
139605	17	1	232	513097	40	3	2013-05-03 08:19:56	1
139606	18	1	232	513098	40	3	2013-05-03 08:19:56	1
139607	19	1	232	513099	40	3	2013-05-03 08:19:56	1
139608	20	1	232	513100	40	3	2013-05-03 08:19:56	1
139609	21	1	232	513101	40	3	2013-05-03 08:19:56	1
139610	22	1	232	513102	40	3	2013-05-03 08:19:56	1
139611	23	1	232	513037	40	3	2013-05-03 08:19:56	1
139612	24	1	232	513038	40	3	2013-05-03 08:19:56	1
139613	25	1	232	500300	40	3	2013-05-03 08:19:56	1
139614	26	1	232	500352	40	3	2013-05-03 08:19:56	1
139615	27	1	232	500400	40	3	2013-05-03 08:19:56	1
139616	28	1	232	500450	40	3	2013-05-03 08:19:56	1
139617	29	1	232	500500	40	3	2013-05-03 08:19:56	1
139618	30	1	232	502351	40	3	2013-05-03 08:19:56	1
139619	31	1	232	502401	40	3	2013-05-03 08:19:56	1
139620	1	1	232	500301	40	4	2013-05-03 08:19:56	1
139621	2	1	232	513089	40	4	2013-05-03 08:19:56	1
139622	3	1	232	513197	40	4	2013-05-03 08:19:56	1
139623	4	1	232	513198	40	4	2013-05-03 08:19:56	1
139624	5	1	232	513199	40	4	2013-05-03 08:19:56	1
139625	6	1	232	513200	40	4	2013-05-03 08:19:56	1
139626	7	1	232	513201	40	4	2013-05-03 08:19:56	1
139627	8	1	232	513202	40	4	2013-05-03 08:19:56	1
139628	9	1	232	513079	40	4	2013-05-03 08:19:56	1
139629	10	1	232	513080	40	4	2013-05-03 08:19:56	1
139630	11	1	232	513290	40	4	2013-05-03 08:19:56	1
139631	12	1	232	513082	40	4	2013-05-03 08:19:56	1
139632	13	1	232	513083	40	4	2013-05-03 08:19:56	1
139633	14	1	232	513084	40	4	2013-05-03 08:19:56	1
139634	15	1	232	513085	40	4	2013-05-03 08:19:56	1
139635	16	1	232	513096	40	4	2013-05-03 08:19:56	1
139636	17	1	232	513097	40	4	2013-05-03 08:19:56	1
139637	18	1	232	513098	40	4	2013-05-03 08:19:56	1
139638	19	1	232	513099	40	4	2013-05-03 08:19:56	1
139639	20	1	232	513100	40	4	2013-05-03 08:19:56	1
139640	21	1	232	513101	40	4	2013-05-03 08:19:56	1
139641	22	1	232	513102	40	4	2013-05-03 08:19:56	1
139642	23	1	232	513037	40	4	2013-05-03 08:19:56	1
139643	24	1	232	513038	40	4	2013-05-03 08:19:56	1
139644	25	1	232	500300	40	4	2013-05-03 08:19:56	1
139645	1	1	232	500300	40	10	2013-05-03 08:19:56	1
139646	2	1	232	500352	40	10	2013-05-03 08:19:56	1
139647	3	1	232	500400	40	10	2013-05-03 08:19:56	1
139648	4	1	232	500450	40	10	2013-05-03 08:19:56	1
139649	5	1	232	500500	40	10	2013-05-03 08:19:56	1
139650	6	1	232	502351	40	10	2013-05-03 08:19:56	1
139651	7	1	232	502401	40	10	2013-05-03 08:19:56	1
139652	1	1	243	500152	40	2	2013-05-03 08:19:56	1
139653	2	1	243	514157	40	2	2013-05-03 08:19:56	1
139654	3	1	243	514080	40	2	2013-05-03 08:19:56	1
139655	4	1	243	514082	40	2	2013-05-03 08:19:56	1
139656	5	1	243	514095	40	2	2013-05-03 08:19:56	1
139657	6	1	243	514096	40	2	2013-05-03 08:19:56	1
139658	7	1	243	514098	40	2	2013-05-03 08:19:56	1
139659	8	1	243	514099	40	2	2013-05-03 08:19:56	1
139660	9	1	243	514113	40	2	2013-05-03 08:19:56	1
139661	10	1	243	513141	40	2	2013-05-03 08:19:56	1
139662	11	1	243	513142	40	2	2013-05-03 08:19:56	1
139663	12	1	243	513143	40	2	2013-05-03 08:19:56	1
139664	13	1	243	513144	40	2	2013-05-03 08:19:56	1
139665	14	1	243	513150	40	2	2013-05-03 08:19:56	1
139666	15	1	243	513151	40	2	2013-05-03 08:19:56	1
139667	16	1	243	513152	40	2	2013-05-03 08:19:56	1
139668	17	1	243	513153	40	2	2013-05-03 08:19:56	1
139669	18	1	243	513163	40	2	2013-05-03 08:19:56	1
139670	19	1	243	513069	40	2	2013-05-03 08:19:56	1
139671	20	1	243	513070	40	2	2013-05-03 08:19:56	1
139672	21	1	243	513071	40	2	2013-05-03 08:19:56	1
139673	22	1	243	513075	40	2	2013-05-03 08:19:56	1
139674	23	1	243	513076	40	2	2013-05-03 08:19:56	1
139675	24	1	243	513048	40	2	2013-05-03 08:19:56	1
139676	25	1	243	500352	40	2	2013-05-03 08:19:56	1
139677	1	0	243	500352	40	3	2013-05-03 08:19:56	1
