DATAPLANID	LINESHORTNAME	LINEID	ORIENTATION	TOTALSTOPS	TRIPLENGTH	TASKID	TRIPID	TRIPSTARTTIME	SCHEDULETYPEID	TRIPTYPEID	PLANVERSIONID	TRANSPORTCONTRATIST	REGISTERDATE	TRIPENDTIME	TRIPTRANSITTIME
3528677	A23	323	2	2	41	305	9911	62191	1951016	3	40	Blanco y Negro Masivo	2013-05-03 08:23:01	(null)	(null)
3528678	A23	323	1	12	4620	305	153	62431	1951016	1	40	Blanco y Negro Masivo	2013-05-03 08:23:01	63391	960
3528679	A23	323	2	2	41	305	9910	63391	1951016	3	40	Blanco y Negro Masivo	2013-05-03 08:23:01	(null)	(null)
3528680	A23	323	1	12	4620	305	157	63631	1951016	1	40	Blanco y Negro Masivo	2013-05-03 08:23:01	64591	960
3528681	A23	323	2	2	41	305	9909	64591	1951016	3	40	Blanco y Negro Masivo	2013-05-03 08:23:01	(null)	(null)
3528682	A23	323	1	12	4620	305	161	64831	1951016	1	40	Blanco y Negro Masivo	2013-05-03 08:23:01	65791	960
3528683	A23	323	2	2	41	305	9908	65791	1951016	3	40	Blanco y Negro Masivo	2013-05-03 08:23:01	(null)	(null)
3528684	A23	323	1	12	4620	305	165	66031	1951016	1	40	Blanco y Negro Masivo	2013-05-03 08:23:01	66991	960
3528685	A23	323	2	2	41	305	9907	66991	1951016	3	40	Blanco y Negro Masivo	2013-05-03 08:23:01	(null)	(null)
3528686	A23	323	1	12	4620	305	169	67231	1951016	1	40	Blanco y Negro Masivo	2013-05-03 08:23:01	68191	960
3528687	A23	323	2	2	41	305	9906	68191	1951016	3	40	Blanco y Negro Masivo	2013-05-03 08:23:01	(null)	(null)
3528688	A23	323	1	12	4620	305	173	68431	1951016	1	40	Blanco y Negro Masivo	2013-05-03 08:23:01	69391	960
3528689	A23	323	2	2	41	305	9905	69391	1951016	3	40	Blanco y Negro Masivo	2013-05-03 08:23:01	(null)	(null)
3528690	A23	323	1	12	4620	305	177	69631	1951016	1	40	Blanco y Negro Masivo	2013-05-03 08:23:01	70591	960
3528691	A23	323	2	2	41	305	9904	70591	1951016	3	40	Blanco y Negro Masivo	2013-05-03 08:23:01	(null)	(null)
3528692	A23	323	1	12	4620	305	181	70831	1951016	1	40	Blanco y Negro Masivo	2013-05-03 08:23:01	71791	960
3528693	A23	323	2	2	41	305	9903	71791	1951016	3	40	Blanco y Negro Masivo	2013-05-03 08:23:01	(null)	(null)
3528694	A23	323	1	12	4620	305	185	72031	1951016	1	40	Blanco y Negro Masivo	2013-05-03 08:23:01	72991	960
3528695	A23	323	2	2	41	305	9902	72991	1951016	3	40	Blanco y Negro Masivo	2013-05-03 08:23:01	(null)	(null)
3528696	A23	323	1	12	4620	305	189	73231	1951016	1	40	Blanco y Negro Masivo	2013-05-03 08:23:01	74191	960
3528697	A23	323	2	2	41	305	9901	74191	1951016	3	40	Blanco y Negro Masivo	2013-05-03 08:23:01	(null)	(null)
3528698	A23	323	1	12	4620	305	193	74431	1951016	1	40	Blanco y Negro Masivo	2013-05-03 08:23:01	75391	960
3528699	A23	323	2	2	41	305	9900	75391	1951016	3	40	Blanco y Negro Masivo	2013-05-03 08:23:01	(null)	(null)
3528700	A23	323	1	12	4620	305	197	75631	1951016	1	40	Blanco y Negro Masivo	2013-05-03 08:23:01	76591	960
3528701	A23	323	2	2	41	305	9899	76591	1951016	3	40	Blanco y Negro Masivo	2013-05-03 08:23:01	(null)	(null)
3528702	A23	323	1	12	4620	305	199	76681	1951016	1	40	Blanco y Negro Masivo	2013-05-03 08:23:01	77641	960
3528703	A23	323	2	2	41	305	9898	77641	1951016	3	40	Blanco y Negro Masivo	2013-05-03 08:23:01	(null)	(null)
3528704	A23	323	1	12	4620	305	201	77731	1951016	1	40	Blanco y Negro Masivo	2013-05-03 08:23:01	78691	960
3528705	A23	323	2	2	41	305	9897	78691	1951016	3	40	Blanco y Negro Masivo	2013-05-03 08:23:01	(null)	(null)
3528706	A23	323	1	12	4620	305	203	78781	1951016	1	40	Blanco y Negro Masivo	2013-05-03 08:23:01	79741	960
3528707	A23	323	2	2	41	305	9896	79741	1951016	3	40	Blanco y Negro Masivo	2013-05-03 08:23:01	(null)	(null)
3528708	A23	323	1	12	4620	305	205	79831	1951016	1	40	Blanco y Negro Masivo	2013-05-03 08:23:01	80791	960
3528709	A23	323	2	2	41	305	9895	80791	1951016	3	40	Blanco y Negro Masivo	2013-05-03 08:23:01	(null)	(null)
3528710	A23	323	1	12	4620	305	207	80881	1951016	1	40	Blanco y Negro Masivo	2013-05-03 08:23:01	81841	960
3528711	A23	323	2	2	41	305	9894	81841	1951016	3	40	Blanco y Negro Masivo	2013-05-03 08:23:01	(null)	(null)
3528712	A23	323	1	12	4620	305	209	81931	1951016	1	40	Blanco y Negro Masivo	2013-05-03 08:23:01	82891	960
3528713	A23	323	2	2	41	305	9893	82891	1951016	3	40	Blanco y Negro Masivo	2013-05-03 08:23:01	(null)	(null)
3528714	A23	323	1	12	4620	305	211	82981	1951016	1	40	Blanco y Negro Masivo	2013-05-03 08:23:01	83941	960
3528715	A23	323	2	2	41	305	9892	83941	1951016	3	40	Blanco y Negro Masivo	2013-05-03 08:23:01	(null)	(null)
3528716	A23	323	1	12	4620	305	213	84031	1951016	1	40	Blanco y Negro Masivo	2013-05-03 08:23:01	84991	960
3528717	A23	323	2	2	41	305	9891	84991	1951016	3	40	Blanco y Negro Masivo	2013-05-03 08:23:01	(null)	(null)
3528718	A23	323	1	12	4620	305	215	85081	1951016	1	40	Blanco y Negro Masivo	2013-05-03 08:23:01	86041	960
3528719	A23	323	2	2	41	305	9890	86041	1951016	3	40	Blanco y Negro Masivo	2013-05-03 08:23:01	(null)	(null)
3528720	A23	323	1	12	4620	305	217	86155	1951016	1	40	Blanco y Negro Masivo	2013-05-03 08:23:01	87115	960
3528721	A23	323	1	12	4620	310	4	16591	1951016	1	40	Blanco y Negro Masivo	2013-05-03 08:23:01	17551	960
3528722	A23	323	2	2	41	310	9998	17551	1951016	3	40	Blanco y Negro Masivo	2013-05-03 08:23:01	(null)	(null)
3528723	A23	323	1	12	4620	310	8	18031	1951016	1	40	Blanco y Negro Masivo	2013-05-03 08:23:01	18991	960
3528724	A23	323	2	2	41	310	9997	18991	1951016	3	40	Blanco y Negro Masivo	2013-05-03 08:23:01	(null)	(null)
3528725	A23	323	1	12	4620	310	12	19471	1951016	1	40	Blanco y Negro Masivo	2013-05-03 08:23:01	20431	960
3528726	A23	323	2	2	41	310	9996	20431	1951016	3	40	Blanco y Negro Masivo	2013-05-03 08:23:01	(null)	(null)
3528727	A23	323	1	12	4620	310	16	20911	1951016	1	40	Blanco y Negro Masivo	2013-05-03 08:23:01	21871	960
3528728	A23	323	2	2	41	310	9995	21871	1951016	3	40	Blanco y Negro Masivo	2013-05-03 08:23:01	(null)	(null)
3528729	A23	323	1	12	4620	310	19	22231	1951016	1	40	Blanco y Negro Masivo	2013-05-03 08:23:01	23191	960
3528730	A23	323	2	2	41	310	9994	23191	1951016	3	40	Blanco y Negro Masivo	2013-05-03 08:23:01	(null)	(null)
3528731	A23	323	1	12	4620	310	23	23431	1951016	1	40	Blanco y Negro Masivo	2013-05-03 08:23:01	24391	960
3528732	A23	323	2	2	41	310	9993	24391	1951016	3	40	Blanco y Negro Masivo	2013-05-03 08:23:01	(null)	(null)
3528733	A23	323	1	12	4620	310	27	24631	1951016	1	40	Blanco y Negro Masivo	2013-05-03 08:23:01	25591	960
3528734	A23	323	2	2	41	310	9992	25591	1951016	3	40	Blanco y Negro Masivo	2013-05-03 08:23:01	(null)	(null)
3528735	A23	323	1	12	4620	310	31	25831	1951016	1	40	Blanco y Negro Masivo	2013-05-03 08:23:01	26791	960
3528736	A23	323	2	2	41	310	9991	26791	1951016	3	40	Blanco y Negro Masivo	2013-05-03 08:23:01	(null)	(null)
3528737	A23	323	1	12	4620	310	35	27031	1951016	1	40	Blanco y Negro Masivo	2013-05-03 08:23:01	27991	960
3528738	A23	323	2	2	41	310	9990	27991	1951016	3	40	Blanco y Negro Masivo	2013-05-03 08:23:01	(null)	(null)
3528739	A23	323	1	12	4620	310	39	28231	1951016	1	40	Blanco y Negro Masivo	2013-05-03 08:23:01	29191	960
3528740	A23	323	2	2	41	310	9989	29191	1951016	3	40	Blanco y Negro Masivo	2013-05-03 08:23:01	(null)	(null)
3528741	A23	323	1	12	4620	310	43	29431	1951016	1	40	Blanco y Negro Masivo	2013-05-03 08:23:01	30391	960
3528742	A23	323	2	2	41	310	9988	30391	1951016	3	40	Blanco y Negro Masivo	2013-05-03 08:23:01	(null)	(null)
3528743	A23	323	1	12	4620	310	47	30631	1951016	1	40	Blanco y Negro Masivo	2013-05-03 08:23:01	31591	960
3528744	A23	323	2	2	41	310	9987	31591	1951016	3	40	Blanco y Negro Masivo	2013-05-03 08:23:01	(null)	(null)
3528745	A23	323	1	12	4620	310	51	31831	1951016	1	40	Blanco y Negro Masivo	2013-05-03 08:23:01	32791	960
3528746	A23	323	2	2	41	310	9986	32791	1951016	3	40	Blanco y Negro Masivo	2013-05-03 08:23:01	(null)	(null)
3528747	A23	323	1	12	4620	310	55	33031	1951016	1	40	Blanco y Negro Masivo	2013-05-03 08:23:01	33991	960
3528748	A23	323	2	2	41	310	9985	33991	1951016	3	40	Blanco y Negro Masivo	2013-05-03 08:23:01	(null)	(null)
3528749	A23	323	1	12	4620	310	59	34231	1951016	1	40	Blanco y Negro Masivo	2013-05-03 08:23:01	35191	960
3528750	A23	323	2	2	41	310	9984	35191	1951016	3	40	Blanco y Negro Masivo	2013-05-03 08:23:01	(null)	(null)
3528751	A23	323	1	12	4620	310	63	35431	1951016	1	40	Blanco y Negro Masivo	2013-05-03 08:23:01	36391	960
3528752	A23	323	2	2	41	310	9983	36391	1951016	3	40	Blanco y Negro Masivo	2013-05-03 08:23:01	(null)	(null)
3528753	A23	323	1	12	4620	310	67	36631	1951016	1	40	Blanco y Negro Masivo	2013-05-03 08:23:01	37591	960
3528754	A23	323	2	2	41	310	9982	37591	1951016	3	40	Blanco y Negro Masivo	2013-05-03 08:23:01	(null)	(null)
3528755	A23	323	1	12	4620	310	71	37831	1951016	1	40	Blanco y Negro Masivo	2013-05-03 08:23:01	38791	960
3528756	A23	323	2	2	41	310	9981	38791	1951016	3	40	Blanco y Negro Masivo	2013-05-03 08:23:01	(null)	(null)
3530508	A35	335	1	21	8171	280	40	49020	1951017	1	40	Blanco y Negro Masivo	2013-05-03 08:23:01	50505	1485
3530509	A35	335	1	21	8171	280	42	50580	1951017	1	40	Blanco y Negro Masivo	2013-05-03 08:23:01	52065	1485
3530510	A35	335	1	21	8171	280	44	52140	1951017	1	40	Blanco y Negro Masivo	2013-05-03 08:23:01	53625	1485
3530511	A35	335	1	21	8171	280	46	53700	1951017	1	40	Blanco y Negro Masivo	2013-05-03 08:23:01	55185	1485
3530512	A35	335	1	21	8171	280	48	55260	1951017	1	40	Blanco y Negro Masivo	2013-05-03 08:23:01	56745	1485
3530513	A35	335	1	21	8171	280	50	56820	1951017	1	40	Blanco y Negro Masivo	2013-05-03 08:23:01	58305	1485
3530514	A35	335	1	21	8171	280	52	58380	1951017	1	40	Blanco y Negro Masivo	2013-05-03 08:23:01	59865	1485
3530515	A35	335	1	21	8171	280	54	59940	1951017	1	40	Blanco y Negro Masivo	2013-05-03 08:23:01	61425	1485
3530516	A35	335	1	21	8171	280	56	61500	1951017	1	40	Blanco y Negro Masivo	2013-05-03 08:23:01	62985	1485
3530517	A35	335	1	21	8171	280	58	63060	1951017	1	40	Blanco y Negro Masivo	2013-05-03 08:23:01	64545	1485
3530518	A35	335	1	21	8171	280	60	64620	1951017	1	40	Blanco y Negro Masivo	2013-05-03 08:23:01	66105	1485
3530519	A35	335	1	21	8171	280	62	66180	1951017	1	40	Blanco y Negro Masivo	2013-05-03 08:23:01	67665	1485
3530520	A35	335	1	21	8171	280	64	67740	1951017	1	40	Blanco y Negro Masivo	2013-05-03 08:23:01	69225	1485
3530521	A35	335	1	21	8171	280	66	69300	1951017	1	40	Blanco y Negro Masivo	2013-05-03 08:23:01	70785	1485
3530522	A35	335	1	21	8171	280	68	70860	1951017	1	40	Blanco y Negro Masivo	2013-05-03 08:23:01	72345	1485
3530523	A35	335	1	21	8171	280	70	72540	1951017	1	40	Blanco y Negro Masivo	2013-05-03 08:23:01	74025	1485
3530524	A35	335	1	21	8171	280	72	74340	1951017	1	40	Blanco y Negro Masivo	2013-05-03 08:23:01	75825	1485
3530525	A35	335	1	21	8171	280	74	76140	1951017	1	40	Blanco y Negro Masivo	2013-05-03 08:23:01	77625	1485
3530526	A35	335	1	21	8171	280	76	77940	1951017	1	40	Blanco y Negro Masivo	2013-05-03 08:23:01	79425	1485
3530527	A35	335	1	21	8171	280	78	79740	1951017	1	40	Blanco y Negro Masivo	2013-05-03 08:23:01	81225	1485
3530528	A35	335	1	21	8171	280	80	81540	1951017	1	40	Blanco y Negro Masivo	2013-05-03 08:23:01	83025	1485
3530529	A35	335	1	21	8171	280	82	83340	1951017	1	40	Blanco y Negro Masivo	2013-05-03 08:23:01	84825	1485
3530530	A35	335	1	18	5593	409	1	16100	1951012	1	40	Blanco y Negro Masivo	2013-05-03 08:23:01	17400	1300
3530531	A35	335	1	21	8171	409	6	17485	1951012	1	40	Blanco y Negro Masivo	2013-05-03 08:23:01	19200	1715
3530532	A35	335	1	21	8171	409	11	19285	1951012	1	40	Blanco y Negro Masivo	2013-05-03 08:23:01	21000	1715
3530533	A35	335	1	21	8171	409	16	21085	1951012	1	40	Blanco y Negro Masivo	2013-05-03 08:23:01	22800	1715
3530534	A35	335	1	21	8171	409	23	22885	1951012	1	40	Blanco y Negro Masivo	2013-05-03 08:23:01	24600	1715
3530535	A35	335	1	21	8171	409	30	24685	1951012	1	40	Blanco y Negro Masivo	2013-05-03 08:23:01	26400	1715
3530536	A35	335	1	21	8171	409	37	26485	1951012	1	40	Blanco y Negro Masivo	2013-05-03 08:23:01	28200	1715
3530537	A35	335	1	21	8171	409	44	28405	1951012	1	40	Blanco y Negro Masivo	2013-05-03 08:23:01	30120	1715
3530538	A35	335	1	21	8171	429	18	21420	1951012	1	40	ETM	2013-05-03 08:23:01	23135	1715
3530539	A35	335	1	21	8171	429	25	23220	1951012	1	40	ETM	2013-05-03 08:23:01	24935	1715
3530540	A35	335	1	21	8171	429	32	25010	1951012	1	40	ETM	2013-05-03 08:23:01	26725	1715
3530541	A35	335	1	21	8171	429	39	26820	1951012	1	40	ETM	2013-05-03 08:23:01	28535	1715
3530542	A35	335	1	21	8171	429	46	28680	1951012	1	40	ETM	2013-05-03 08:23:01	30395	1715
3530543	A35	335	1	21	8171	429	52	30445	1951012	1	40	ETM	2013-05-03 08:23:01	32045	1600
3530544	A35	335	1	21	8171	429	57	32080	1951012	1	40	ETM	2013-05-03 08:23:01	33680	1600
3530545	A35	335	1	21	8171	470	20	21980	1951016	1	40	Blanco y Negro Masivo	2013-05-03 08:23:01	23580	1600
3530546	A35	335	1	21	8171	470	27	23780	1951016	1	40	Blanco y Negro Masivo	2013-05-03 08:23:01	25380	1600
3530547	A35	335	1	21	8171	470	34	25580	1951016	1	40	Blanco y Negro Masivo	2013-05-03 08:23:01	27295	1715
3530548	A35	335	1	21	8171	470	41	27380	1951016	1	40	Blanco y Negro Masivo	2013-05-03 08:23:01	29095	1715
3530549	A35	335	1	21	8171	470	48	29180	1951016	1	40	Blanco y Negro Masivo	2013-05-03 08:23:01	30895	1715
3530550	A35	335	1	21	8171	470	54	30980	1951016	1	40	Blanco y Negro Masivo	2013-05-03 08:23:01	32695	1715
3530551	A35	335	1	21	8171	472	103	51380	1951016	1	40	Blanco y Negro Masivo	2013-05-03 08:23:01	52980	1600
3530552	A35	335	1	21	8171	472	108	53180	1951016	1	40	Blanco y Negro Masivo	2013-05-03 08:23:01	54780	1600
3530553	A35	335	1	21	8171	472	114	54980	1951016	1	40	Blanco y Negro Masivo	2013-05-03 08:23:01	56580	1600
3530554	A35	335	1	21	8171	472	120	56780	1951016	1	40	Blanco y Negro Masivo	2013-05-03 08:23:01	58380	1600
3530555	A35	335	1	21	8171	472	127	58580	1951016	1	40	Blanco y Negro Masivo	2013-05-03 08:23:01	60295	1715
3530556	A35	335	1	21	8171	472	134	60380	1951016	1	40	Blanco y Negro Masivo	2013-05-03 08:23:01	62095	1715
3530557	A35	335	1	21	8171	472	141	62180	1951016	1	40	Blanco y Negro Masivo	2013-05-03 08:23:01	63895	1715
3530558	A35	335	1	21	8171	472	148	63980	1951016	1	40	Blanco y Negro Masivo	2013-05-03 08:23:01	65695	1715
3530559	A35	335	1	21	8171	472	155	65780	1951016	1	40	Blanco y Negro Masivo	2013-05-03 08:23:01	67380	1600
3530560	A35	335	1	21	8171	472	162	67580	1951016	1	40	Blanco y Negro Masivo	2013-05-03 08:23:01	69180	1600
3530561	A35	335	1	21	8171	472	168	69260	1951016	1	40	Blanco y Negro Masivo	2013-05-03 08:23:01	70860	1600
3530562	A35	335	1	21	8171	472	173	71000	1951016	1	40	Blanco y Negro Masivo	2013-05-03 08:23:01	72600	1600
3530563	A35	335	1	21	8171	472	178	72680	1951016	1	40	Blanco y Negro Masivo	2013-05-03 08:23:01	74280	1600
3530564	A35	335	1	21	8171	472	182	74480	1951016	1	40	Blanco y Negro Masivo	2013-05-03 08:23:01	76080	1600
3530565	A35	335	1	21	8171	472	186	76280	1951016	1	40	Blanco y Negro Masivo	2013-05-03 08:23:01	77880	1600
3530566	A35	335	1	21	8171	472	190	78080	1951016	1	40	Blanco y Negro Masivo	2013-05-03 08:23:01	79680	1600
3530567	A35	335	1	21	8171	472	194	79880	1951016	1	40	Blanco y Negro Masivo	2013-05-03 08:23:01	81480	1600
3530568	A35	335	1	21	8171	472	198	81680	1951016	1	40	Blanco y Negro Masivo	2013-05-03 08:23:01	83280	1600
3530569	A35	335	1	21	8171	472	203	83480	1951016	1	40	Blanco y Negro Masivo	2013-05-03 08:23:01	85080	1600
3530570	A35	335	1	21	8171	472	207	85280	1951016	1	40	Blanco y Negro Masivo	2013-05-03 08:23:01	86880	1600
3530571	A35	335	1	18	5593	509	2	16700	1951012	1	40	Blanco y Negro Masivo	2013-05-03 08:23:01	18000	1300
3530572	A35	335	1	21	8171	509	8	18085	1951012	1	40	Blanco y Negro Masivo	2013-05-03 08:23:01	19800	1715
3530573	A35	335	1	21	8171	509	13	19885	1951012	1	40	Blanco y Negro Masivo	2013-05-03 08:23:01	21600	1715
3530574	A35	335	1	21	8171	509	19	21685	1951012	1	40	Blanco y Negro Masivo	2013-05-03 08:23:01	23400	1715
3530575	A35	335	1	21	8171	509	26	23485	1951012	1	40	Blanco y Negro Masivo	2013-05-03 08:23:01	25200	1715
3530576	A35	335	1	21	8171	509	33	25285	1951012	1	40	Blanco y Negro Masivo	2013-05-03 08:23:01	27000	1715
3530577	A35	335	1	21	8171	509	40	27085	1951012	1	40	Blanco y Negro Masivo	2013-05-03 08:23:01	28800	1715
3530578	A35	335	1	21	8171	509	47	29125	1951012	1	40	Blanco y Negro Masivo	2013-05-03 08:23:01	30725	1600
3530579	A35	335	1	21	8171	509	53	30805	1951012	1	40	Blanco y Negro Masivo	2013-05-03 08:23:01	32405	1600
3530580	A35	335	1	21	8171	509	59	32485	1951012	1	40	Blanco y Negro Masivo	2013-05-03 08:23:01	34085	1600
3530581	A35	335	1	21	8171	509	63	34165	1951012	1	40	Blanco y Negro Masivo	2013-05-03 08:23:01	35765	1600
3530582	A35	335	1	21	8171	509	67	35845	1951012	1	40	Blanco y Negro Masivo	2013-05-03 08:23:01	37445	1600
3530583	A35	335	1	21	8171	509	70	37525	1951012	1	40	Blanco y Negro Masivo	2013-05-03 08:23:01	39125	1600
3530584	A35	335	1	21	8171	509	74	39205	1951012	1	40	Blanco y Negro Masivo	2013-05-03 08:23:01	40805	1600
3530585	A35	335	1	21	8171	509	78	40885	1951012	1	40	Blanco y Negro Masivo	2013-05-03 08:23:01	42485	1600
3530586	A35	335	1	21	8171	509	82	42565	1951012	1	40	Blanco y Negro Masivo	2013-05-03 08:23:01	44165	1600
3530587	A35	335	1	21	8171	509	86	44245	1951012	1	40	Blanco y Negro Masivo	2013-05-03 08:23:01	45845	1600
3530588	A35	335	1	21	8171	509	90	45925	1951012	1	40	Blanco y Negro Masivo	2013-05-03 08:23:01	47525	1600
3530589	A35	335	1	21	8171	509	94	47605	1951012	1	40	Blanco y Negro Masivo	2013-05-03 08:23:01	49205	1600
3530590	A35	335	1	21	8171	509	98	49285	1951012	1	40	Blanco y Negro Masivo	2013-05-03 08:23:01	50885	1600
3530591	A35	335	1	21	8171	509	102	50965	1951012	1	40	Blanco y Negro Masivo	2013-05-03 08:23:01	52565	1600
3530592	A35	335	1	21	8171	509	106	52645	1951012	1	40	Blanco y Negro Masivo	2013-05-03 08:23:01	54245	1600
3530593	A35	335	1	21	8171	509	112	54325	1951012	1	40	Blanco y Negro Masivo	2013-05-03 08:23:01	55925	1600
3530594	A35	335	1	21	8171	509	118	56065	1951012	1	40	Blanco y Negro Masivo	2013-05-03 08:23:01	57665	1600
3530595	A35	335	1	21	8171	509	126	57985	1951012	1	40	Blanco y Negro Masivo	2013-05-03 08:23:01	59700	1715
3530596	A35	335	1	21	8171	509	133	59845	1951012	1	40	Blanco y Negro Masivo	2013-05-03 08:23:01	61560	1715
3530597	A35	335	1	21	8171	509	140	61645	1951012	1	40	Blanco y Negro Masivo	2013-05-03 08:23:01	63360	1715
3530598	A35	335	1	21	8171	509	147	63445	1951012	1	40	Blanco y Negro Masivo	2013-05-03 08:23:01	65160	1715
3530599	A35	335	1	21	8171	509	154	65245	1951012	1	40	Blanco y Negro Masivo	2013-05-03 08:23:01	66845	1600
3530600	A35	335	1	21	8171	509	161	67105	1951012	1	40	Blanco y Negro Masivo	2013-05-03 08:23:01	68705	1600
3530601	A35	335	1	21	8171	509	167	69025	1951012	1	40	Blanco y Negro Masivo	2013-05-03 08:23:01	70625	1600
3530602	A35	335	1	21	8171	509	172	70765	1951012	1	40	Blanco y Negro Masivo	2013-05-03 08:23:01	72365	1600
3530603	A35	335	1	21	8171	509	177	72445	1951012	1	40	Blanco y Negro Masivo	2013-05-03 08:23:01	74045	1600
3530604	A35	335	1	21	8171	509	181	74125	1951012	1	40	Blanco y Negro Masivo	2013-05-03 08:23:01	75725	1600
3530605	A35	335	1	21	8171	509	185	75805	1951012	1	40	Blanco y Negro Masivo	2013-05-03 08:23:01	77405	1600
3530606	A35	335	1	21	8171	509	189	77485	1951012	1	40	Blanco y Negro Masivo	2013-05-03 08:23:01	79085	1600
3530607	A35	335	1	21	8171	509	193	79165	1951012	1	40	Blanco y Negro Masivo	2013-05-03 08:23:01	80765	1600
3530608	A35	335	1	21	8171	509	197	80845	1951012	1	40	Blanco y Negro Masivo	2013-05-03 08:23:01	82445	1600
